epsilon,near_optimal_count,near_optimal_fraction_of_feasible,max_geometry_distance_from_best_km
0.006678266450762749,1,0.5,0.0
0.013356532901525497,1,0.5,0.0
0.026713065803050995,2,1.0,303.4666119015451
