design_index,design_id,source_time_index,day,grid_nx,grid_ny,dx_km,compatibility_residual,compatibility_relative_residual,compatibility_valid,projected_moment_residual,soft_projection_stationarity_residual,soft_projection_penalty_trace,projection_backend,projection_iterations,refined_multiplier_norm,relative_multiplier_grid_change,covariance_minimum_eigenvalue,covariance_condition,multiplier_coordinate_ready,lambda_dot_solve_relative_residual,relative_lambda_dot_grid_change,gram_rank,tangent_compatibility_relative_residual,minimum_log_density,maximum_log_density,minimum_active_log_density,maximum_active_log_density,underflow_cell_count,underflow_cell_fraction,underflow_log10_probability_mass,tangent_action_density,accepted_medium_grid_tangent_action_density,poisson_backend,residual_contract,operator_floor_relative,operator_floor_absolute_density,operator_floor_to_physical_coefficient_sum_ratio,preconditioner,cg_tolerance,cg_maximum_iterations,solver_converged,solver_success,iterations,native_relative_pde_residual,stabilized_relative_pde_residual,physical_relative_pde_residual,physical_absolute_pde_residual,physical_pde_valid,scaled_weak_relative_residual,complete_scaled_weak_relative_residual,discarded_scaled_load_relative_residual,weak_relative_residual,weighted_mean_potential_residual,weighted_mean_potential_relative_residual,variational_compatibility_relative_residual,energy_load_identity_relative_error,condition_proxy,retained_rank,basis_size,quadrature_underflow_count,maximum_relative_rank_action_change,rank_sensitivity_valid,rank_tolerance_1e-12_action,rank_tolerance_1e-10_action,rank_tolerance_1e-14_action,full_action_density,tangent_full_inequality_valid,solve_accepted_before_refinement,solver_error,density_floor_or_cell_threshold_used,final_test_accessed,coarse_fine_relative_action_change,grid_refinement_valid,positive_floor_maximum_relative_action_change,operator_floor_sensitivity_valid,adaptive_quadrature_attempted,adaptive_quadrature_valid,adaptive_refinement_level,adaptive_quadrature_cell_count,adaptive_minimum_cell_width_km,adaptive_maximum_projected_cell_weight,adaptive_action_density,adaptive_solver_success,adaptive_scaled_weak_relative_residual,adaptive_gauge_relative_residual,adaptive_compatibility_relative_residual,adaptive_energy_load_identity_relative_error,adaptive_last_relative_action_change,adaptive_maximum_relative_rank_action_change,adaptive_rank_sensitivity_valid,adaptive_level_actions
56,design_000056,0,0.0,219,117,16.666666666666668,-4.08514888583511e-12,1.8158714949676572e-13,True,0.026029813344230778,2.5754171268109707e-15,0.0004558641207012365,tesseract_cpp_soft_uncertainty_penalized,5,217.72603766567565,nan,2.5017462188548675e-05,208.83132683485087,True,5.16956382218789e-16,nan,4,3.715007999170924e-16,-298884.6616135322,-7.434961998380844,-750.0332993608492,-7.434961998380844,23402,0.9133200640049955,-323.5056192533871,35638.796149535876,35638.796149535876,tesseract_cpp_variational_ritz,retained_space_scaled_weak_galerkin_optimality,0.0,0.0,0.0,diagonal trial-space equilibration,,,True,True,11.0,nan,nan,nan,nan,False,6.167723114357615e-23,1.2162638442624251e-07,1.2162638401199502e-07,1.4248674519366675e-07,-6.519454621608426e-11,1.648317996457498e-14,1.8159990349857092e-13,6.556734468405575e-16,109451605799.6505,17,35,17219,0.043295041843419355,True,57489.42909569979,55000.421857447174,58699.58283823271,57489.42909569979,True,True,,False,False,0.21239575174267247,False,0.0,True,,,,,,,,,,,,,,,,
56,design_000056,0,0.0,511,273,7.142857142857143,1.3541945342865347e-12,5.5838207562907873e-14,True,0.024950099835379172,2.725275054345184e-13,0.0004558641207012365,tesseract_cpp_soft_uncertainty_penalized,5,219.29173138625808,nan,2.5017634596634164e-05,199.59157278837785,True,3.1899800531615274e-16,nan,4,2.4821346692455946e-16,-299827.47823340545,-7.43319619400263,-748.8190566000094,-7.43319619400263,127451,0.9136075926682581,-322.83652873839617,56390.01744167499,56390.01744167499,tesseract_cpp_variational_ritz,retained_space_scaled_weak_galerkin_optimality,0.0,0.0,0.0,diagonal trial-space equilibration,,,True,True,11.0,nan,nan,nan,nan,False,3.2507475102107273e-24,6.108931898040973e-08,6.108931891169682e-08,7.594630522385551e-08,-3.519718419713574e-11,7.744867248960549e-15,5.588832445527568e-14,1.246006269589952e-16,109105785354.34735,17,35,93780,0.002559808241915445,True,72992.7869522064,72874.00356940147,73166.96552228162,73580.07195141373,True,True,,False,False,0.21239575174267247,True,0.0,True,True,True,2,143343,1.7857142857142858,0.0020411013386603437,73580.07195141373,True,1.0645388499844627e-19,4.3461572204655446e-17,6.703060992515883e-13,2.250620187054543e-13,5.82528233153769e-05,0.002559808241915445,True,0:72992.786846876479;1:73575.785704482812;2:73580.071951413731
56,design_000056,10,2.5,219,117,16.666666666666668,-8.660849808139008e-13,2.0058782020005655e-14,True,0.05033017634566542,2.406411581104291e-10,0.0009873420788132643,tesseract_cpp_soft_uncertainty_penalized,9,331.54670309028427,nan,3.6069599500694784e-05,2143.0420580397995,True,3.5491419897769086e-16,nan,4,5.546758332832629e-16,-278311.1810366972,-8.50313109411068,-750.4486890292854,-8.50313109411068,19518,0.7617375014635288,-323.4193726383584,1971426.8180983267,1971426.8180983267,tesseract_cpp_variational_ritz,retained_space_scaled_weak_galerkin_optimality,0.0,0.0,0.0,diagonal trial-space equilibration,,,True,True,15.0,nan,nan,nan,nan,False,2.0584674940041217e-24,5.244606903952244e-08,5.2446069043594335e-08,5.094806535578186e-08,8.353090032045483e-10,1.1420328972789309e-14,2.0061609240628276e-14,1.439620555188006e-16,204122606629.40344,23,35,10374,0.003994403784952074,True,2877666.8627343047,2866172.2993259677,2881051.486761783,2877666.8627343047,True,True,,False,False,1.895295156160667e-06,True,0.0,True,,,,,,,,,,,,,,,,
56,design_000056,10,2.5,511,273,7.142857142857143,1.7157941753906319e-12,3.9738309714724576e-14,True,0.050330167992947865,1.8459558981130187e-10,0.0009873420788132643,tesseract_cpp_soft_uncertainty_penalized,11,331.54676008104735,nan,3.60696081322674e-05,2143.0439735993746,True,2.0322215615733483e-16,nan,4,1.2345108754866687e-15,-289367.6672133447,-8.416613140042372,-748.9756148572201,-8.416613140042372,106326,0.7621771574804843,-322.13639783036274,1971433.5436033062,1971433.5436033062,tesseract_cpp_variational_ritz,retained_space_scaled_weak_galerkin_optimality,0.0,0.0,0.0,diagonal trial-space equilibration,,,True,True,15.0,nan,nan,nan,nan,False,1.6862971968173512e-20,5.2425367393162786e-08,5.242536726431216e-08,5.092207537583745e-08,1.1155087117273773e-09,1.5251171601232796e-14,3.9772067517542374e-14,6.115610306542137e-17,204130275329.8275,23,35,56480,0.003996094062163415,True,2877672.3167727077,2866172.8675148003,2881057.3779626014,2877672.3167727077,True,True,,False,False,1.895295156160667e-06,True,0.0,True,False,False,,,,,,,,,,,,,,
56,design_000056,40,10.0,219,117,16.666666666666668,-2.793988998495145e-16,2.065385084768407e-17,True,0.003876113637982655,1.744475619810629e-11,0.0016537828903971906,tesseract_cpp_soft_uncertainty_penalized,12,6.93479077598865,nan,0.011409725832451702,13.890064515138823,True,1.0836663608204188e-17,nan,4,2.791536553266348e-16,-36118.67008013709,-11.180955915321547,-750.4829347837709,-11.180955915321547,5878,0.2294032704991609,-322.7279628877791,2139735.6321376944,2139735.6321376944,tesseract_cpp_variational_ritz,retained_space_scaled_weak_galerkin_optimality,0.0,0.0,0.0,diagonal trial-space equilibration,,,True,True,14.0,nan,nan,nan,nan,False,2.3682868547817977e-21,4.763894586825473e-09,4.763894581088682e-09,4.2565516159228345e-09,-5.604881891011968e-10,1.3871735272555176e-15,1.3087700926022944e-17,2.952269032397066e-17,382389576434.67694,33,35,282,0.0003121099267851371,True,2433724.0492518176,2432964.4598169904,2434088.6754702786,2433724.0492518176,True,True,,False,False,2.4379194896442433e-11,True,0.0,True,,,,,,,,,,,,,,,,
56,design_000056,40,10.0,511,273,7.142857142857143,-7.71162241052295e-14,5.700620122139829e-15,True,0.0038761136314458297,5.740469630767648e-12,0.0016537828903971906,tesseract_cpp_soft_uncertainty_penalized,12,6.934790776243636,nan,0.01140972583182544,13.890064515780987,True,0.0,nan,4,4.670014320096875e-16,-50566.64479912522,-11.169282601347222,-749.0543441343821,-11.169282601347222,32057,0.2297943413403296,-322.19614701032873,2139735.6321845893,2139735.6321845893,tesseract_cpp_variational_ritz,retained_space_scaled_weak_galerkin_optimality,0.0,0.0,0.0,diagonal trial-space equilibration,,,True,True,14.0,nan,nan,nan,nan,False,4.635610737071006e-20,4.763895423932611e-09,4.763895460140202e-09,4.256552515023243e-09,-8.626845311662729e-10,2.1350907428005087e-15,5.7962619581991154e-15,9.529475990416435e-17,382389604163.18646,33,35,1535,0.00031210992773096006,True,2433724.04931115,2432964.4598740023,2434088.6734956573,2433724.04931115,True,True,,False,False,2.4379194896442433e-11,True,0.0,True,False,False,,,,,,,,,,,,,,
56,design_000056,90,22.5,219,117,16.666666666666668,1.4474532683550478e-14,5.1205948317116165e-15,True,0.0009860096060952317,3.1640719819420245e-11,0.001406203935499103,tesseract_cpp_soft_uncertainty_penalized,7,3.6997354065040438,nan,0.014853271348926105,8.059138568421549,True,1.195867512397664e-16,nan,4,4.787615003644461e-16,-5056.320602149368,-12.581070347657715,-750.4338052525951,-12.581070347657715,387,0.01510361784334387,-323.5324193719695,114168.00940173089,114168.00940173089,tesseract_cpp_variational_ritz,retained_space_scaled_weak_galerkin_optimality,0.0,0.0,0.0,diagonal trial-space equilibration,,,True,True,11.0,nan,nan,nan,nan,False,3.19483523397265e-20,3.1474184168032926e-17,0.0,4.5919451156331823e-17,6.582421177912406e-12,1.7418662142497613e-17,5.0778062343914785e-15,8.986410259349299e-19,11024559.009507747,35,35,0,0.0,True,632548.6731664531,632548.6731664531,632548.6731664531,632548.6731664531,True,True,,False,False,1.8726700356233364e-08,True,0.0,True,,,,,,,,,,,,,,,,
56,design_000056,90,22.5,511,273,7.142857142857143,1.644517855226013e-14,5.8177419751924554e-15,True,0.00098600960559036,3.164158186140641e-11,0.001406203935499103,tesseract_cpp_soft_uncertainty_penalized,7,3.6997354045921997,nan,0.014853271350095983,8.059138568645759,True,1.4646326035721712e-16,nan,4,6.691103919376803e-16,-6597.436358099365,-12.573499876767183,-749.0275440182055,-12.573499876767183,2080,0.01491007361848849,-323.0537291698666,114168.00934988013,114168.00934988013,tesseract_cpp_variational_ritz,retained_space_scaled_weak_galerkin_optimality,0.0,0.0,0.0,diagonal trial-space equilibration,,,True,True,10.0,nan,nan,nan,nan,False,2.9677712090907537e-21,8.542362334299843e-18,0.0,1.2437798982278957e-17,3.354643994755356e-11,8.877190895723337e-17,5.775475602099314e-15,1.3479615136595231e-18,11024528.605473148,35,35,0,0.0,True,632548.6850120028,632548.6850120028,632548.6850120028,632548.6850120028,True,True,,False,False,1.8726700356233364e-08,True,0.0,True,False,False,,,,,,,,,,,,,,
56,design_000056,180,45.0,219,117,16.666666666666668,2.123301534595612e-15,1.5805399902788795e-15,True,0.000427028121101478,6.829747207954154e-12,0.0010988299893910777,tesseract_cpp_soft_uncertainty_penalized,5,1.2334822142320565,nan,0.012716680435615907,6.87340577883936,True,1.0319649325238342e-16,nan,4,7.08496112826923e-16,-2061.4522058355888,-13.678211615207701,-744.5356338379638,-13.678211615207701,40,0.0015610974515084103,-324.43705365669194,55060.5368380899,55060.5368380899,tesseract_cpp_variational_ritz,retained_space_scaled_weak_galerkin_optimality,0.0,0.0,0.0,diagonal trial-space equilibration,,,True,True,8.0,nan,nan,nan,nan,False,3.440870631450865e-20,9.990786751894942e-19,0.0,1.729392495230031e-18,9.89923557388005e-13,1.864829429051375e-18,1.6348621592923116e-15,4.0867651100751124e-19,1078.1900681268628,35,35,0,0.0,True,417274.4260785025,417274.4260785025,417274.4260785025,417274.4260785025,True,True,,False,False,5.903921477318251e-05,True,0.0,True,,,,,,,,,,,,,,,,
56,design_000056,180,45.0,511,273,7.142857142857143,2.858824288409778e-15,2.128045810890456e-15,True,0.0004270069050107854,6.808448623325558e-12,0.0010988299893910777,tesseract_cpp_soft_uncertainty_penalized,5,1.2334622270978994,nan,0.01271662797828991,6.873335280882534,True,1.332202346916496e-16,nan,4,8.363860511352678e-16,-2951.75645553249,-13.67801571017895,-747.4984122240091,-13.67801571017895,216,0.0015483537988430357,-323.7935308114513,55061.311922036824,55061.311922036824,tesseract_cpp_variational_ritz,retained_space_scaled_weak_galerkin_optimality,0.0,0.0,0.0,diagonal trial-space equilibration,,,True,True,7.0,nan,nan,nan,nan,False,8.552451265070534e-21,1.0974353519493392e-18,0.0,1.3719376934315578e-18,1.2168683377897758e-12,2.2926738095760134e-18,2.067475734287299e-15,1.3623354631593912e-19,1078.1864257578354,35,35,0,0.0,True,417249.7919784198,417249.7919784198,417249.7919784198,417249.7919784198,True,True,,False,False,5.903921477318251e-05,True,0.0,True,False,False,,,,,,,,,,,,,,
