drifter_id,outside_observations,xmin_km,xmax_km,ymin_km,ymax_km
300234065317890,34,-78.8810237003244,2196.3068523740717,-42.04338691685756,751.4865822378001
21329,27,-75.71609135311637,2123.236361167474,-64.76452129715906,643.688894030187
9815234,49,-83.02592980781834,2062.151808525632,-44.97199142133745,913.6809718236399
116191,44,-85.82264384966746,118.90689081222538,-884.5398425367117,-128.30956604041592
9012753,44,-56.64565409961111,1858.2148816760316,-53.695177009676605,890.2508021512991
300234064015000,28,-69.53193865049053,2085.29064033496,-154.45848728038226,397.8132489732136
9012746,31,-75.3104502868975,2083.2346421169773,-136.876533669672,348.2044308501489
300534064034990,18,-83.22124140947008,2062.435043052515,-63.461122179452175,774.3748544633658
92918,37,-449.6337454317752,174.4704154824133,-810.4429608071293,-93.68001833729295
114794,43,-569.4029996186118,183.08257731832688,-128.76371692861198,130.61469121239116
55149,21,-79.13199499488678,2021.1865768170817,-137.36843367311536,319.35141543737745
9423720,14,-85.77295592144849,1869.5875869802383,-115.21204220150456,812.996860034694
300234063940880,4,-80.9029789675573,2013.8338874135216,-93.949616403674,646.0471885229858
9423818,12,-559.1205417374879,264.8009208270674,-109.19754154762806,67.25287037898127
71181,9,-498.37794991049554,97.20576374056924,-766.2204663559503,-208.2021220799199
