left_design_id,right_design_id,hungarian_matched_rms_km,hausdorff_km,symmetric_average_nearest_sensor_km
design_000216,design_000240,115.89179079055317,160.36051862301053,112.30210373235627
design_000216,design_000278,246.14526956645037,318.9184161421192,222.62787839142564
design_000216,design_000235,142.83072279165236,175.2418732950594,136.9123096036274
design_000216,design_000267,135.40590061862974,183.03933958978612,126.97529161278419
design_000216,design_000324,164.21686137445428,231.57094744454153,146.4781784623968
design_000216,design_000150,405.07301054898886,358.0399546413474,141.14150594601554
design_000216,design_000266,252.90513557537636,378.11081935356304,189.6969690689291
design_000216,design_000004,467.8738721072363,440.32877955378024,243.91486174682666
design_000216,design_000186,212.5282753560481,266.9394499816162,201.49222849653415
design_000216,design_000138,391.33242032797955,522.472800034172,258.67940956332006
design_000216,design_000500,344.4961542990059,561.6603884606064,239.84560095727505
design_000216,design_000014,227.77451191004212,275.11094271535467,225.45688418313813
design_000216,design_000325,283.9185051806622,396.9663569472814,238.4657165668517
design_000216,design_000347,317.43760237088344,419.43946804966447,252.89991985171264
design_000216,design_000281,226.01629594339147,292.7357380686034,208.42633014072499
design_000216,design_000085,242.45672320592098,386.33398625173083,221.10393764247834
design_000216,design_000193,402.383392202071,573.129584825239,309.1876820315458
design_000216,design_000121,383.33188809352123,474.6859870052856,216.65463760757774
design_000216,design_000241,257.79503353234867,442.8065307788644,185.71613994185918
design_000216,design_000307,366.5344774198891,577.5460227987994,268.09717255619285
design_000216,design_000312,309.5464095584658,570.0312692225517,236.01920876673518
design_000216,design_000182,215.68741750680968,275.6490926689188,188.50091316083794
design_000216,design_000205,371.145779350312,530.9055865272726,220.60384368266358
design_000216,design_000218,342.337471517296,475.3224221338179,207.11866739436056
design_000216,design_000202,455.2997770568415,389.5445912811335,229.3290848597883
design_000216,design_000245,376.4570182865824,571.770012616766,243.29022219262046
design_000216,design_000340,219.463631629939,308.37182870381463,208.49438093394386
design_000216,design_000055,156.27790477397323,289.5693105906495,115.33736240540314
design_000216,design_000224,346.2895551221723,485.66725756628324,282.15730536676824
design_000216,design_000056,329.94291575138726,550.0678071106723,230.11118169759888
design_000216,design_000252,243.2304757966277,351.3152789538584,221.25411209361084
design_000216,design_000088,350.8554110566231,522.8157957844002,285.97449193896625
design_000216,design_000343,320.68208453328515,480.26476823563127,230.301510732214
design_000216,design_000332,209.79478842078836,263.4036616907665,202.69395921594244
design_000216,design_000326,153.6264720678331,223.1431034296053,128.02639809446055
design_000216,design_000059,248.77353782842192,418.01917645027356,171.72633164068515
design_000216,design_000192,483.9765820499621,637.6415391072951,220.29796057539664
design_000216,design_000031,436.47795671850656,269.1354673336062,118.48358061136122
design_000216,design_000329,187.19668523911864,307.6922354083874,157.2004372321298
design_000216,design_000000,285.9333731231357,402.0760525153871,264.0235573854592
design_000216,design_000331,263.3450362230933,338.99903501139323,198.98736726456713
design_000216,design_000318,207.98092053058792,304.7248587078326,192.56684595845547
design_000216,design_000162,318.5953476621806,453.4167155413114,211.1307249054463
design_000216,design_000161,211.76549306587657,329.49691890213813,193.24756117383282
design_000216,design_000105,328.1839622146556,384.4933421904522,142.9051370012383
design_000216,design_000322,202.43697542191538,236.3797531846311,191.00869244819143
design_000216,design_000276,258.95182697695896,350.0641961868616,249.73463953891303
design_000216,design_000176,275.98352801929855,388.7092756608149,217.40190438060156
design_000216,design_000223,319.0067535795091,591.0378617949007,173.31758533239108
design_000216,design_000143,280.02658102746517,249.22278126156286,164.59786806561578
design_000216,design_000069,829.7628473831356,363.36367290933094,180.6076131466782
design_000216,design_000168,321.8994818594142,337.13639913725547,172.7995214057359
design_000216,design_000292,260.9743524223936,395.533583181302,210.45092467266088
design_000216,design_000038,581.0519409373132,621.8917571716764,235.31711843637248
design_000216,design_000251,296.4527441593133,472.9775473915622,249.05036478655148
design_000216,design_000013,778.475880454946,626.1137730235225,288.63480977235724
design_000216,design_000342,211.99403801306227,225.76937110913227,177.93604196518436
design_000216,design_000270,220.2569866543655,325.9846840352918,205.87274879822428
design_000216,design_000200,625.7983841730357,715.7920410239765,356.50212880507434
design_000216,design_000012,170.556242949396,217.97240448049322,164.223346167346
design_000216,design_000286,304.4360506898031,513.3042874363131,220.48050007275037
design_000216,design_000221,244.49548375317528,323.929682622876,145.19348399794382
design_000216,design_000272,288.0568701532787,436.4568279602824,246.58706259815682
design_000216,design_000139,278.4189766564002,340.2342369242144,179.6890132781889
design_000216,design_000167,316.6730615262044,398.25580983980535,284.3591591433644
design_000216,design_000255,246.62186435908967,439.78580163190856,185.91960927977294
design_000216,design_000032,249.65993864070884,333.1679423963691,214.64176498520183
design_000240,design_000278,238.20621002009773,243.62986171318073,235.9595413513796
design_000240,design_000235,70.2236846411363,85.8168884717369,66.97801466781965
design_000240,design_000267,154.9412453478718,243.55099930635825,136.3311279072617
design_000240,design_000324,77.74370113979346,87.68090877263886,77.33449492294724
design_000240,design_000150,333.51141656981196,268.0286492680566,165.09541049498847
design_000240,design_000266,201.71535027033997,291.97174231352994,180.22030429274065
design_000240,design_000004,525.8583930114554,580.8094194005384,300.5129635352064
design_000240,design_000186,239.43699104225337,282.54475436270474,215.0277972525027
design_000240,design_000138,327.1954801207385,487.2633781705701,230.3565177284637
design_000240,design_000500,355.70384055268823,578.4696062102287,276.2877026839719
design_000240,design_000014,225.54301054708833,309.2411145481932,208.61219382869425
design_000240,design_000325,326.9843273211585,479.47916898309927,258.81045843328025
design_000240,design_000347,309.98140962479357,436.41649083442724,265.7731352600118
design_000240,design_000281,272.63982857456415,343.6863022806342,236.48725409155622
design_000240,design_000085,201.1220089808171,308.0344252170964,178.67952738339125
design_000240,design_000193,418.0216792170529,621.1526299499897,313.631678155671
design_000240,design_000121,421.5069860301124,634.4280249672032,285.39308297694106
design_000240,design_000241,186.0723578827184,283.3084187848291,169.45204229443385
design_000240,design_000307,315.42187135752295,495.1059531410929,253.48978306397734
design_000240,design_000312,284.260074594071,517.2192855223745,203.35529440257113
design_000240,design_000182,216.90821405387084,271.05849320221927,210.17395084428392
design_000240,design_000205,340.91386476274795,446.6400843019425,229.72979152910597
design_000240,design_000218,293.68382304189095,374.45678366214497,239.9396117546743
design_000240,design_000202,420.80568407239434,339.4506434209637,197.16789859289054
design_000240,design_000245,312.96889008171104,472.16171232250275,218.03322284718013
design_000240,design_000340,162.81615837085525,223.37645351229898,154.23083935686333
design_000240,design_000055,177.98632163082803,320.35191498985307,142.5339825373908
design_000240,design_000224,351.4583414862593,556.6711784913476,270.6047789209537
design_000240,design_000056,276.54211008094836,447.7718460216555,210.22559765783922
design_000240,design_000252,254.0915182794726,316.35215355021677,222.56353577553836
design_000240,design_000088,338.4527065616354,443.35643456441636,317.5730779247575
design_000240,design_000343,258.49490612700976,323.08734939372306,235.40886802093706
design_000240,design_000332,239.37206054928802,302.8499257489709,234.0200695824582
design_000240,design_000326,180.83303285226663,274.9031302707539,145.65254156177758
design_000240,design_000059,256.5765683414737,411.7679058279314,210.9862391964013
design_000240,design_000192,442.36965395113026,535.9344154429263,169.01435446365835
design_000240,design_000031,454.2294069438317,365.2180132871275,182.6325365903628
design_000240,design_000329,171.98886932330836,210.96685969613497,169.24768658511795
design_000240,design_000000,268.0344641000782,335.29625990789344,255.60723358525107
design_000240,design_000331,229.5636219026593,289.6844602631115,214.0986378843332
design_000240,design_000318,165.03659387668583,227.6343116220278,156.94666063746806
design_000240,design_000162,276.14248688693965,362.80309269754264,222.84152784726444
design_000240,design_000161,203.30769721870766,285.21515277591413,192.09506444481414
design_000240,design_000105,365.516587603697,402.7441729738003,208.73531267676333
design_000240,design_000322,231.168667705916,318.22552235596675,206.80176398331452
design_000240,design_000276,241.62917687876154,286.8336898386294,219.91928416325806
design_000240,design_000176,362.23061454672614,487.620251179867,285.1201847137406
design_000240,design_000223,298.65067897866305,526.7069848836327,217.66117102803867
design_000240,design_000143,326.1937748455446,378.9849305422397,210.14922484998266
design_000240,design_000069,871.9153189284406,461.14474058660437,216.36818825343101
design_000240,design_000168,378.3963132945932,495.3039368971142,200.96975119046814
design_000240,design_000292,363.7008220830606,489.0438745133651,198.84048252656603
