Eq_h2,cov_anisotropy,cov_area_scale,cov_det,cov_eig_major,cov_eig_minor,day,density_modified,design_id,design_index,diagnostic_only,diagnostic_precision,direct_numerical_rank_resolved,direct_roundoff_amplification,direct_svd_action,direct_svd_rank,dx_km,final_test_accessed,float64_unit_roundoff,forcing_all_finite,forcing_compatibility_relative_residual,grid_nx,grid_ny,kappa_C,log10_cov_area_scale,log10_cov_eig_minor,log10_kappa_C,log10_normal_roundoff_amplification,log10_sigma_min,log_weight_range,major_std,max_abs_h_on_positive_weight_support,minimum_positive_weight,minor_std,most_negative_assembled_normal_eigenvalue,normal_eigenvalue_resolvability_ratio,normal_roundoff_amplification,normal_spectrum_maximum_scaled_discrepancy,normal_unresolved_direction_action,normal_unresolved_direction_action_fraction,old_condition_proxy,old_full_action_diagnostic,old_rank_sensitive,old_relative_rank_action_change,old_tangent_action,old_tangent_full_inequality_valid,operator_floor,positive_mode_truncation_used,projected_mean_x_km,projected_mean_y_km,projected_weight_ess,projected_weight_normalization,projected_weight_sha256,projected_weight_sum,sigma_max,sigma_min,smallest_assembled_normal_eigenvalue,smallest_direct_sigma_squared,source_time_index,spectrum_panel_label,trial_basis,trial_basis_size,zero_weight_count,zero_weight_fraction,negative_log10_cov_eig_minor,negative_log10_cov_area_scale,log10_cov_anisotropy,assembled_normal_eigenvalues,direct_action_contributions,generalized_load_coefficients,normal_spectrum_discrepancy,singular_values,squared_singular_values
2245.4809371827514,117.14953774523289,472.9393670091008,223671.64486696897,5118.889508758839,43.69534534477614,0.0,False,design_000000,0,True,float64,True,0.02021736951104756,4181904.5070744995,35,7.142857142857143,False,1.1102230246251565e-16,True,3.687739809499563e-15,511,273,182101875592730.84,2.6748054657668288,1.6404351761295768,14.260314418916163,12.566039067641324,-16.087812657742468,299776.99070208735,71.54641506573785,1636.9769101891775,5e-324,6.610245482943591,-4.3093051167678914e-20,2.716194918274471e-13,3681620907513.0527,6.123740289947121e-16,54493.10252250176,0.013030690306370255,291895744192.3201,4056361.566466124,False,0.012445792033037268,224016.91566277962,True,0.0,False,-40.93284266066043,-54.21266291875423,57.24200513424785,float64_max_shifted_exponential_sum,d1c4652727682753c0801af538aae41a97423b2727d801d4664563f3cbab3a6b,1.0,0.014876534068771607,8.169346976987122e-17,-4.3093051167678914e-20,6.673823003040864e-33,0,,production_neumann_cosine_mode_5,35,127145,0.9114140914532304,-1.6404351761295768,-2.6748054657668288,2.068740579274504,,,,,,
263.62969662858296,57.254911777633524,900.7035396508415,811266.8663395551,6815.351264636947,119.03522428095586,0.0,False,design_000004,4,True,float64,True,0.027208411752853757,152004.26048579073,35,7.142857142857143,False,1.1102230246251565e-16,True,2.871853986125148e-16,511,273,245071586062990.4,2.9545818694694237,2.075675494562409,14.38929296147083,12.823996152750656,-16.25536684804692,299775.9918660216,82.55514075232958,3316.1906979299756,5e-324,10.910326497449828,-2.4120756874436542e-20,1.4996981206977794e-13,6668008622526.779,1.6091285491319872e-15,641.7734915955623,0.0042220756809349756,939510941451.0697,151473.26728663844,False,0.0011215313633861103,57382.89426123153,True,0.0,False,-74.4759712018006,-80.78725561426108,190.59086141686814,float64_max_shifted_exponential_sum,b5068fd8212ab13bdc806959ac074adf92079de93da745e254d087c9b6442f2a,1.0000000000000002,0.013612130794088212,5.554348838542835e-17,-2.4120756874436542e-20,3.0850791020222144e-33,0,,production_neumann_cosine_mode_5,35,127211,0.9118871995584324,-2.075675494562409,-2.9545818694694237,1.7578127498140288,,,,,,
346.05272543012904,17.985617770594263,218.31156615935154,47659.93991894892,925.8474293055539,51.47709915303971,0.0,False,design_000012,12,True,float64,False,1.299147907018215,56682.44575604,35,7.142857142857143,False,1.1102230246251565e-16,True,1.4019611395020816e-13,511,273,1.1701684059892786e+16,2.3390767452653383,1.7116140654793597,16.068248368181,16.181906966170995,-17.88018946885449,299818.63400460675,30.427741114081307,798.7630713035253,5e-324,7.174754292171943,-3.8225940081177105e-20,6.577987347953229e-17,1.5202218354998122e+16,1.0260652810085385e-15,10491.486902272316,0.18509234671043387,117810350163.1268,46227.684482256365,False,0.0012762674336701794,31008.928942145463,True,0.0,False,-41.59903546955578,-69.40553987333676,47.7888575414797,float64_max_shifted_exponential_sum,0afddb3b25a3833c0dd83b7078b3f24d588a713ed5d8eed825ab46eaa5b68ba9,1.0,0.01541909553640334,1.3176817505483579e-18,-3.8225940081177105e-20,1.736285195728185e-36,0,,production_neumann_cosine_mode_5,35,127438,0.9135144047081425,-1.7116140654793597,-2.3390767452653383,1.254925359571957,,,,,,
139.0441581286513,91.39810828426627,994.2475930968957,988528.2763789702,9505.241419687572,103.99822926448743,0.0,False,design_000013,13,True,float64,True,0.02348678091504245,1275921.6952845643,35,7.142857142857143,False,1.1102230246251565e-16,True,3.7661173450304973e-16,511,273,211550115554235.3,2.9974945483067463,2.017025944806387,14.325413266890443,12.696236763589882,-16.188857156522868,299776.25682853884,97.49482765607401,1380.2737589705152,5e-324,10.197952209364752,-2.827685942049706e-20,2.0126267304045918e-13,4968631216574.239,1.1561869099532027e-15,131.78669821033978,0.00010328744992532466,615971448309.9711,1274923.9124736097,False,0.00010630132209773614,122216.37875845334,True,0.0,False,-75.51475379588025,-41.00419103940231,202.43535579376106,float64_max_shifted_exponential_sum,26198f41a04ddaedd1ebe4009a32c5496613ba75391c59d1cc1c99f3ed57670f,0.9999999999999999,0.013694813124353382,6.473555019563405e-17,-2.827685942049706e-20,4.190691459131455e-33,0,,production_neumann_cosine_mode_5,35,127243,0.9121165853064092,-2.017025944806387,-2.9974945483067463,1.9609372070007178,,,,,,
1571.8471788790534,130.66582576307266,463.23518603425265,214586.83758018867,5295.202199189536,40.524767423051856,0.0,False,design_000014,14,True,float64,True,0.01936637555340186,2681163.87306053,35,7.142857142857143,False,1.1102230246251565e-16,True,2.2984889361530848e-14,511,273,174436803451635.4,2.6658015397525117,1.6077205310547895,14.24163811964301,12.528686469095017,-16.069256142361905,299776.23568138026,72.76814000089281,832.3231441674,5e-324,6.365906645800884,-4.270471664800597e-20,2.960148720210582e-13,3378208645979.3174,9.190678847017632e-16,9167.70994283367,0.0034193023540813237,295174196413.6163,2666089.163264639,False,0.0003294802231013554,757064.434724941,True,0.0,False,-40.03612740049567,-55.49439332745375,55.10918561618721,float64_max_shifted_exponential_sum,53c7ed05f4c76e77a57ba62b364a2590afcc30368ba5efdb7f014c4cd9a4f08f,1.0000000000000002,0.014872431498946183,8.525971128030751e-17,-4.270471664800597e-20,7.269218367601396e-33,0,,production_neumann_cosine_mode_5,35,127177,0.9116434772012072,-1.6077205310547895,-2.6658015397525117,2.1161620173954443,,,,,,
694.8575740609549,73.9638898227593,946.0922190597529,895090.4869654075,8136.607042208034,110.00783033052885,0.0,False,design_000031,31,True,float64,True,0.026777137791193062,4083034.282738615,35,7.142857142857143,False,1.1102230246251565e-16,True,6.738796080404722e-17,511,273,241187015556931.0,2.9759334707324405,2.041423599233751,14.382353923601762,12.81011807701252,-16.235930646752124,299778.6293841,90.20314319472483,2330.736600799571,5e-324,10.488461771419527,-1.902725175866612e-20,1.5483955802203026e-13,6458297949014.566,4.1430958700243303e-16,1058.6852534484105,0.000259288847493663,745443413001.8822,4082561.4979158733,False,7.239510277840513e-05,1797196.5541134514,True,0.0,False,-74.40837689646595,-39.74466581268664,198.82912893549636,float64_max_shifted_exponential_sum,e59c3e099d05dc44a905729f0ecb6a38f4bca2ead4cd61c1f03c3763d42de454,1.0,0.014009520686681461,5.808571682157816e-17,-1.902725175866612e-20,3.373950498676568e-33,0,,production_neumann_cosine_mode_5,35,127239,0.9120879120879121,-2.041423599233751,-2.9759334707324405,1.8690197429973783,,,,,,
943.631945693099,23.795820642046607,281.8196686422259,79422.325633614,1374.74339996659,57.77247276513143,0.0,False,design_000032,32,True,float64,True,0.18496103919918588,806590.5499066685,35,7.142857142857143,False,1.1102230246251565e-16,True,5.2282623624996566e-14,511,273,1665980934431026.5,2.4499712999326673,1.7617209565195795,15.221670027011479,14.488750283831953,-17.03051416983478,299822.7579221268,37.077532279894115,2532.7344663099834,5e-324,7.6008205323590845,-3.929682512034658e-20,3.2452616389640086e-15,308141564918393.44,1.348713838259834e-15,18059.88644428952,0.022390401730319368,121129251374.48839,786479.0080526841,False,0.001995727816435584,308488.5423809194,True,0.0,False,-45.11188714686331,-57.65450096576259,63.7099944953555,float64_max_shifted_exponential_sum,a6404effba1e1f343482576fb786cc521a21bd4ae263f3fd8eedd6ff30cfa61b,0.9999999999999998,0.015529442219115827,9.321500563522063e-18,-3.929682512034658e-20,8.689037275574214e-35,0,,production_neumann_cosine_mode_5,35,127392,0.9131846626954259,-1.7617209565195795,-2.4499712999326673,1.376500686826175,,,,,,
302.05441980426224,58.082280524457246,679.8070971742343,462137.68936845876,5180.927611424744,89.19979664440281,0.0,False,design_000038,38,True,float64,True,0.10039123324577394,362811.26573141856,35,7.142857142857143,False,1.1102230246251565e-16,True,1.4146953561650928e-13,511,273,904243841273864.1,2.832385694297523,1.9503638642829124,14.956285559501797,13.95798134881259,-16.769470671955805,299840.1223786912,71.97866080599682,1739.9939806925597,5e-324,9.444564396752389,-2.5865790240990288e-20,1.1015866172050546e-14,90778154380379.08,2.063920723987859e-15,5320.452308992798,0.014664517923022312,84138891477.33469,354998.7563255016,False,0.007549875620952927,196145.4773835134,True,0.0,False,-55.12609520459728,-61.64835274167801,67.53087330464697,float64_max_shifted_exponential_sum,cf1a8f62e33bc2810566722570d998a222afdc65beb07246d8c36467e5dba407,1.0,0.015374991613158513,1.700314772561659e-17,-2.5865790240990288e-20,2.8910703257914065e-34,0,,production_neumann_cosine_mode_5,35,127539,0.914238403475194,-1.9503638642829124,-2.832385694297523,1.7640436600292209,,,,,,
370.77467571167085,126.6748366195495,1053.5929780976046,1110058.1634965795,11858.180151234268,93.61117383437949,0.0,False,design_000055,55,True,float64,True,0.019296697154326435,2682466.465215742,35,7.142857142857143,False,1.1102230246251565e-16,True,1.8450374096592675e-15,511,273,173809196227411.7,3.0226728675121697,1.9713276910989972,14.240072751198722,12.52555573220644,-16.108170917728636,299776.38392772153,108.89527148243981,1010.3862449227067,5e-324,9.675286757217043,-2.536341188747405e-20,2.981564904672561e-13,3353943422237.2603,4.060498073086179e-16,700.0474346543555,0.00026097155126897473,435268917570.61304,2681389.385917523,False,0.00022975711260627405,918758.2352274535,True,0.0,False,-74.8601945051066,19.069848529719394,220.70147819052627,float64_max_shifted_exponential_sum,ab16196e994acbae8ef6fb2c29955e2a7c737cb7828d15c1257d7b0c8c71d4bf,1.0,0.013548831243060666,7.795232667282688e-17,-2.536341188747405e-20,6.0765652337071175e-33,0,,production_neumann_cosine_mode_5,35,127244,0.9121237536110335,-1.9713276910989972,-3.0226728675121697,2.102690352826345,,,,,,
588.1649977804301,12.997868883173842,234.00441027148597,54758.06402650593,843.6457411218066,64.90646649112864,0.0,False,design_000056,56,True,float64,False,1.0640606770613994,79009.88489537341,35,7.142857142857143,False,1.1102230246251565e-16,True,1.7627203126161675e-13,511,273,9584206537426632.0,2.3692240426174958,1.8122879667774772,15.981556164091376,16.008522557991746,-17.781471136553748,299820.04503721144,29.04558040600681,4221.774446304054,5e-324,8.056454958052496,-4.536274916014931e-20,9.805673806668632e-17,1.0198177297310472e+16,2.157298405262104e-15,5706.746891867983,0.07222826484844244,109105785544.90228,73580.07220860146,False,0.002559691692691699,56390.01744168941,True,0.0,False,-46.28461443034047,-49.79233949969823,56.706746390819056,float64_max_shifted_exponential_sum,d6d16ad6deeca31d8ce0759f91a19833d6b3137fd78e384ee04962728f8a863d,0.9999999999999998,0.01585203518205184,1.6539747051724248e-18,-4.536274916014931e-20,2.7356323253502097e-36,0,,production_neumann_cosine_mode_5,35,127451,0.9136075926682581,-1.8122879667774772,-2.3692240426174958,1.1138721516800374,,,,,,
