design_id,mds_1_km,mds_2_km
design_000216,20.800898041672024,138.77873145957008
design_000240,56.720336916858415,-0.09895231423207744
design_000278,47.68843478350123,-21.071630903636894
design_000235,13.411796530508102,-44.121829528045396
design_000267,7.7743994215897,63.32801871935658
design_000324,127.79425961016523,23.69313022115532
design_000150,-331.5316093217112,-67.55169586413237
design_000266,273.71189205387464,10.951519422888449
design_000004,-529.2946114156113,76.16308977552045
design_000186,92.35626497936389,125.42960379080994
design_000138,151.07046826676824,-158.0482593951701
design_000500,-74.73196727078765,16.627974096647797
design_000014,-36.243453026300536,-51.92495865245373
design_000325,-115.16990208687035,72.1142627866296
design_000347,170.9942888526841,43.527839917724606
design_000281,147.10867552747618,149.72772251299173
design_000085,79.69083406557185,-31.127723181361045
design_000193,-217.69299298312606,33.01320611360991
design_000121,-342.9608223368663,156.41967292102146
design_000241,115.04143610470787,-78.65671814104392
design_000307,74.009593022452,-137.0047071331671
design_000312,161.77803812711224,29.40867266874009
design_000182,-160.69317337520192,-40.337878783374926
design_000205,-153.57834624284283,-124.99577237779431
design_000218,171.8073771892766,-120.67484345482788
design_000202,-275.52979133508467,-231.75952633845762
design_000245,297.9641345722382,-115.1012624185265
design_000340,13.46032373303654,-49.5617700883667
design_000055,48.12367507245889,80.00515443590697
design_000224,193.43031926460836,115.33079956957681
design_000056,294.709297048699,-74.67022714632446
design_000252,197.11508813904214,59.01206018318891
design_000088,135.5007938103085,-27.964055453966804
design_000343,160.3149693936583,-58.436441860377286
design_000332,-59.048588466908136,11.318471549631708
design_000326,80.03603592491227,98.4184338132275
design_000059,-18.921024447417015,19.421292071584926
design_000192,437.0113585314022,-131.93626380612238
design_000031,-463.9298259046997,-71.37819856606221
design_000329,77.5011261820667,9.376900852632938
design_000000,-193.0079986934114,-62.11984292082866
design_000331,170.1434495335744,-50.129860332021195
design_000318,30.592647776483737,-37.05706706580419
design_000162,184.84951970335862,-89.44693447718114
design_000161,38.66893663887502,-2.9019223221461368
design_000105,113.95129728733336,199.51399764765628
design_000322,82.09295899370187,62.836654051395534
design_000276,-128.14907699580075,-107.54986761292466
design_000176,-27.883717515962594,266.4477178844463
design_000223,216.86577124819516,90.10617945320034
design_000143,-258.1056535419822,84.21601861197472
design_000069,-632.3061279756644,-195.85009415299547
design_000168,-298.6724932723637,86.99425639991605
design_000292,89.82145826764828,213.4116457679808
design_000038,514.5272138208064,-77.39729699611644
design_000251,27.21870508059477,1.9329338335080777
design_000013,-385.0580359345635,-379.8430617786534
design_000342,191.93137768307795,118.4169554833939
design_000270,-39.33951378017956,44.55874805834542
design_000200,-601.3224264144203,256.9576553022142
design_000012,-4.768739752600113,-3.780055757906575
design_000286,208.48202517313604,-162.82684766354654
design_000221,122.84779458560618,62.33578802801364
design_000272,99.60099073666956,-73.6172728247587
design_000139,-95.78612542749872,105.72337449375067
design_000167,-107.39629330625638,-174.09943801822365
design_000255,57.37564288088412,24.481794903990256
design_000032,-244.77359375182692,103.04200052834892
