design_index,design_id,rank,validation_risk,bootstrap_SE,bootstrap_CI_low,bootstrap_CI_high,bootstrap_rank_median,bootstrap_rank_CI_low,bootstrap_rank_CI_high,near_optimal,maximum_KL,integrated_KL_uniform,minimum_intrinsic_ESS,minimum_log10_intrinsic_ess,maximum_lambda_norm,maximum_covariance_condition,maximum_projection_residual,sensor_1_x_km,sensor_1_y_km,sensor_2_x_km,sensor_2_y_km,sensor_3_x_km,sensor_3_y_km,sensor_4_x_km,sensor_4_y_km
216,design_000216,1,0.005524708831231038,0.005066745357925032,0.0058500365583077085,0.024926217789128426,6.0,1.0,260.04999999999995,True,24.912031431774295,2.174441693098689,0.0,-2462.7344784002316,5977.949372932541,28259616077925.16,9.829931339277724e-09,520.0520758159645,179.78145994183757,1276.6655593952084,193.87601217529402,135.26474410132448,91.66361422942292,26.937949164558333,-171.6351398605406
240,design_000240,2,0.00612840695509871,0.006423412765236407,0.005500592100458189,0.029286670309066728,17.0,1.0,139.52499999999998,True,28.90486357877756,2.4365769505311463,0.0,-1961.483090338691,4800.988482450908,36034151035160.53,6.001990304920196e-09,-19.32096848585911,-325.17864662931544,180.74865552459462,3.163708789660994,550.2046604349783,100.1543748390802,1176.6283291398372,164.720998575862
278,design_000278,3,0.006407535271706618,0.0054392212674197705,0.006387496090060932,0.028291042274178745,13.0,2.0,255.04999999999995,True,17.45769554007849,1.8165089124618707,0.0,-1099.1649065822933,98001.280215837,7837251731210.007,7.277987769455872e-09,-32.694172721081515,-87.82704034236579,286.8709490695334,222.46616735122254,484.208976692644,-118.0150380512115,977.4759643363352,304.3049140221627
235,design_000235,4,0.006410481752633347,0.006190974039688589,0.005605633283414798,0.02880844976412944,16.0,1.0,236.6249999999999,True,28.264919483326448,2.4954696595134056,0.0,-1792.4287164915704,44593.03891017671,40515345683195.516,9.84932958793653e-09,-59.80704604716964,-274.7122330221834,265.20704658176015,-12.045450523247567,568.9753780539237,127.73240211955158,1133.7678351962504,92.43659885522315
267,design_000267,5,0.006418171842131786,0.0052403944436679615,0.006913427960598061,0.02745340666066135,14.0,1.4750000000000103,259.0,True,26.628811429005427,2.4114301692996594,0.0,-1754.6415102192216,9873.010023709698,12177945929156.957,9.092910460836752e-09,-65.55057455073262,-86.0554298848673,257.61624747507136,13.519153933679522,568.4909092234986,156.65462620399643,1151.7415566508546,327.6571520111981
324,design_000324,6,0.006553319266080373,0.006732738918337574,0.005768404152373295,0.031069298004416115,20.0,3.0,109.14999999999986,True,21.52386271697941,1.9953804110198738,0.0,-12833.116468192722,36123.887924535564,20022797869714.125,7.622460220096488e-09,6.00780462801869,-402.25827996153345,133.86153752795258,-43.631501536521135,465.40733218181316,122.45582959702753,1126.061433993024,110.3117212963085
150,design_000150,7,0.006579090520027943,0.006937293084596279,0.005233904100588161,0.03161668068869094,21.0,1.0,110.62499999999989,True,25.223719918409703,2.5010429222132395,7.552367052536935e-147,-146.12191691105406,4403035.354484461,5200201560431.662,2.125374526051569e-09,583.7526953688964,193.2646369963868,918.8667891690565,207.01561430897343,1341.4125485523878,171.39598427456218,161.45512378926028,-127.29140274988697
266,design_000266,8,0.006881145367299749,0.005505529552463379,0.006919942265939217,0.02857860813408817,17.0,6.0,284.0,True,18.099048704716413,1.9825567170145435,0.0,-10959.701571346894,26604.331766743235,103460203.91298707,1.2690608815181378e-09,-25.469140101883564,-371.35338958910285,2.4431079128747086,-117.48134637807337,440.8869367422368,230.69349759015176,908.6323145675535,280.590038802191
4,design_000004,9,0.006921361351086128,0.007014143341346417,0.005957114145832021,0.03262113985455409,23.0,3.0,101.09999999999991,True,20.093825774644653,2.046836378828415,0.0,-542.7918257085241,308541416.6771027,35924103428170.34,9.94318694774965e-09,-100.0,250.0,500.0,250.0,1100.0,250.0,1700.0,250.0
186,design_000186,10,0.00706757441403986,0.005746329640131411,0.006776192696300418,0.02999689310537449,22.0,6.0,237.0,True,16.339420447714087,1.6825340427779643,0.0,-15150.18124862791,36237.547146614175,444707870.42696863,5.819682144760259e-09,375.6550363525842,-44.731713281247,9.005676686734091,-78.51381011450043,1053.3543935584169,310.2778572535912,-27.661000606285917,193.94356477369638
138,design_000138,11,0.007147611866613364,0.006906794303647123,0.005442267160826666,0.03296547123263051,30.0,1.0,162.0999999999999,True,19.90507343415604,2.146798918420945,0.0,-541.8670774951445,1468.8979014849774,1179575709.0797012,7.250783144370039e-09,297.48528639667154,10.12260677979178,-51.18487653817453,-209.12153076670103,503.9014956011337,-384.90398931163287,773.8076548372371,184.13757568537602
500,design_000500,12,0.007221901782351302,0.004866491688991555,0.00733310856681752,0.025928927612390844,22.5,1.0,331.49999999999955,True,26.795138165811167,2.552662018921899,0.0,-566.9168355190584,1000000027.8272485,1.6473004007173166e+16,8.645354628312613e-09,69.32694596221631,-87.57652465352544,790.4352167877764,90.3600941064251,1480.7172181619876,188.14140703118937,-516.3822662371955,-29.278069430191977
14,design_000014,13,0.007230341025799387,0.005372544189743069,0.00686639994110198,0.027545367897337407,20.5,1.0,355.3499999999997,True,14.330659568595033,1.7572034993524597,0.0,-1950.8985761088963,101846.31119445557,8617239062113.737,8.939526309199481e-09,644.263836956921,361.3499911641745,1161.7222778423975,49.865369125579974,293.99691684209057,-64.20897225389822,-241.10481350036173,-109.67460254291822
325,design_000325,14,0.007450488529962989,0.005572358394947762,0.007009047980812033,0.029000857327935274,30.0,1.0,254.0,True,31.382990315746024,2.7466331419301575,0.0,-336.51863312195354,1990773.5053814373,15093203050022.955,9.906245699009392e-09,-162.7857492779902,8.381547174060387,284.10378939805236,499.0160048840279,714.3443889520439,48.37272753877144,1245.0691457864314,94.21329021213951
347,design_000347,15,0.007467360219800725,0.005689152423062761,0.00671542736347522,0.02906749884006559,25.0,4.47500000000001,295.7999999999993,True,20.287462574305053,2.0534785608094355,0.0,-9868.615657211021,24095.670235534028,636096.2563960955,5.202098795578212e-09,-253.68689882435967,44.69806312137647,13.525896404408101,-114.03940407610824,451.3293733260867,-76.00742358389351,867.0774886716968,284.24790868508893
281,design_000281,16,0.007481824369076862,0.005768175771594395,0.006876652474979545,0.030540838530945837,28.0,7.0,265.04999999999995,True,16.244384899386358,1.8516773944209757,0.0,-13093.447725247435,31510.667764974987,17859424.35267343,7.990686556458633e-09,9.23049461034558,-73.3225522013582,2.4972664558728894,297.01182716105143,302.2075555523039,217.31819212280445,985.0899764138734,219.91236659876466
85,design_000085,17,0.0076058212033783094,0.005060407892559951,0.007127099385858807,0.026405081026194047,22.0,2.0,375.39999999999964,True,30.871159716723067,2.7726485872953637,0.0,-11104.202826032772,27018.819103166483,50218891.67310391,5.37608215374696e-09,-48.36440288715949,-277.79723896361054,683.1910012144103,49.01158934022838,-20.220236375194474,59.17332527622784,912.809949124718,323.7337951836353
193,design_000193,18,0.007653160727749271,0.00862076308902962,0.004793882755401385,0.03838239025928085,32.0,1.0,105.0,True,32.44657030668913,2.8669502909625675,0.0,-341.68097489509233,2132973.592919892,15795730787.904694,8.726987184712902e-09,1250.1368287167886,36.985389723567536,484.37031341792175,378.7258957544207,782.9244851659654,36.700155384406386,595.9700176411934,-240.0458557400935
121,design_000121,19,0.0076859975913556415,0.007418474704767602,0.006139345309360166,0.03440141836501662,36.0,6.0,113.09999999999991,True,22.940914485062954,2.351533915818584,0.0,-6369.103320989125,36612893.36704837,60233518265118.62,8.487474894009198e-09,487.90466760400136,278.23583284255886,1362.8812712641147,45.04178222155025,209.2638023760258,266.63882640929455,845.5434761464949,144.03899281008339
241,design_000241,20,0.007746404805936105,0.006962935589936177,0.006586438199262349,0.03314788636331039,36.0,8.0,130.29999999999973,True,18.917097852711933,1.8982189450992848,0.0,-18136.56620104602,43113.556341350704,4929756.086417902,3.1997264043905644e-09,-135.47353120696079,-583.5819018868308,114.50726643447253,-22.465061161415207,550.7435029118179,282.6962815075983,1146.5461928244474,27.03838938612812
307,design_000307,21,0.007904024375449228,0.005909898214323597,0.0069856135627838975,0.030832374524143624,32.5,6.0,274.57499999999993,True,16.05998697493174,1.8530828719263106,0.0,-11042.135877981766,26805.615986270168,1702559.6089980786,5.328201503267196e-09,-46.24243368926736,-130.8326774811826,283.2981775528517,63.50269524555869,594.0034486609981,-393.0104768947821,912.056511337735,-9.012582934143538
312,design_000312,22,0.00791499882182469,0.0059573821474242766,0.007419554807878152,0.030852054214966396,37.0,11.0,219.04999999999995,True,24.249999342688188,1.911092323829474,0.0,-9022.875563646534,22142.110399002853,4841455.905969518,7.018279390117158e-09,-23.00300848279163,-317.520858325033,37.429636975991826,180.78666021490736,519.5175141034599,49.211105650136,831.6038074184944,550.0440691636926
182,design_000182,23,0.00795429008330852,0.005175486534876417,0.007869688105673886,0.028171820835325163,28.5,9.0,333.67499999999984,True,31.156409108077888,2.756817142425672,0.0,-416.4544139193979,15712242.694547033,27081457992644.184,7.503702331922366e-09,1325.7260636824508,88.44443653639964,750.7603741753419,28.930197576159372,340.27419049782225,222.30820547749266,-166.23851650547948,-184.48218420037546
205,design_000205,24,0.007978305817229837,0.007933660941831039,0.005672979801564097,0.03587771607969142,37.0,1.0,119.52499999999998,True,29.083539849702046,2.6707134338555885,0.0,-347.3125769993675,28117112.779695105,8863958183546.799,8.559446434565374e-09,1297.963156542859,262.13397847378343,798.02972259143,49.53805907021436,641.1548135214219,-337.1274959934513,135.7734909125428,-167.4696576930724
218,design_000218,25,0.008002746249560483,0.006547116468478034,0.006395739310275111,0.03305869151530818,39.0,2.0,234.87499999999966,True,26.5709241773359,2.555746364650035,0.0,-439.87499488067147,98994.2762490074,21284217633.802887,1.996419465516265e-09,517.5133668729543,190.0646657115374,-68.93096273541235,-102.24729048609731,802.1730976831662,165.79917543029092,346.0203456183288,-337.6529796634454
202,design_000202,26,0.008104219941087546,0.006342560469770406,0.006863017489081123,0.03149152014405564,40.0,7.47500000000001,241.6249999999999,True,30.64078131042826,2.7441119791198276,0.0,-2348.455248062337,359071.05463764694,43001758743939.26,5.038125037690795e-09,1247.7277553792178,367.4996353370821,1113.5954446087608,-62.25839160818901,740.7128798364506,-4.896923072602348,-35.600961015422556,-258.40766338606807
245,design_000245,27,0.008162550944876956,0.0062830560656707765,0.006970447437494036,0.031605788462715466,40.0,10.0,249.34999999999968,True,25.271848118017783,2.3795070887608563,0.0,-344.8049074302631,1022.6297024256305,157554214.9118268,7.312454853732623e-09,-129.62839698127434,-180.73211045656342,169.82666246184382,-332.3880223294057,418.0014908344374,25.074689057087646,704.9489925867658,186.0584316963719
340,design_000340,28,0.008277989850220008,0.0053634827091141885,0.007519878112965628,0.02791043605028765,39.0,2.0,398.2999999999997,True,26.615031742705987,2.453968344679884,4.064806751278182e-217,-216.3909600967731,596684.9876853419,24126989495208.79,6.243866722895832e-09,-96.61883681939986,-156.32881124399924,198.61521761865035,-93.91376187614073,643.6560948881964,-102.73443555313474,1092.8308601936883,94.80052081310293
55,design_000055,29,0.00830849518840404,0.005504863817829004,0.007701442790798493,0.02917494453284716,39.0,3.4750000000000103,337.1999999999998,True,25.126204928564334,2.2796766055150877,0.0,-2018.4439485916323,18154.043334508493,17201376941457.504,7.3689688568282805e-09,566.0820302476546,192.3883438337708,1192.9554468823665,199.60160507835394,76.82599870445888,58.3798959092582,-255.78884745201486,-109.0576350295324
