sigma_km,mean_activation,median_sensor_mean,median_sensor_variance,near_zero_fraction,near_one_fraction,max_abs_pairwise_correlation,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition,selected
75.0,0.014545791471122449,0.012544906544860655,0.005613049642550277,0.8935681399631676,0.0007044198895027624,0.09095173959766173,8.788767560515848e-05,0.02110405033833431,240.1252529779685,False
100.0,0.026569348888398753,0.023336943512107557,0.010759651804427351,0.8229972375690607,0.0012131675874769798,0.15555799033136736,0.00021780765732680582,0.03767376488395046,172.96804596462601,False
150.0,0.0594377729624138,0.05509141324282091,0.02340877770977154,0.6624355432780847,0.0027048802946593,0.32067182250433346,0.0009301160508381906,0.07993759166564975,85.94367508614927,False
200.0,0.10043217238828805,0.09453580854928965,0.03892845501665032,0.5095718232044198,0.00483195211786372,0.5237028642483759,0.0019511054312504267,0.13043603945308124,66.85237884325258,True
250.0,0.14618163149062285,0.1431369573798931,0.05383333006444767,0.368335635359116,0.007771639042357274,0.6746792453965718,0.002018661083843474,0.21173449717690124,104.8885812836718,False
300.0,0.19423607795587974,0.19770351564521405,0.06604506422169493,0.2670534069981584,0.011385819521178637,0.7718279805192686,0.0012986430007433658,0.29760077190744105,229.1628813593029,False
