step,conditional_fm_loss,grad_norm_preclip,learning_rate
1,2.9719137179498403,2.7185168330818454,0.0009999999633745155
400,0.3222721388178925,2.1054256460617977,0.0009941519617826906
800,0.25618652718402457,1.2978694898734808,0.000976751845240198
1200,0.3131337985313232,3.010322909490927,0.0009482280989894747
1600,0.27356855981863976,1.72293582001515,0.0009092830723281
2000,0.2704570028950192,1.8154316126579046,0.0008608757210636101
2400,0.28786937381149846,1.8442049833668008,0.0008041979948389249
2800,0.267654378605234,1.0738065810110025,0.0007406454873762848
3200,0.2660633907516626,0.832248410896793,0.0006717830723281001
3600,0.28997061462828305,1.2946654446772454,0.0005993063708941098
4000,0.30032713179215376,0.9971772175217019,0.0005250000000000001
4400,0.3512715304015206,1.482137784626995,0.0004506936291058902
4800,0.27545460186393117,0.8638573106686028,0.0003782169276719
5200,0.27888388188451463,0.4989314136566387,0.00030935451262371525
5600,0.26682525691871584,0.7504445600967887,0.00024580200516107533
6000,0.305967770525421,3.2730493253616366,0.00018912427893638995
6400,0.24314009701899642,0.15467002866636176,0.00014071692767190003
6800,0.2422011830693297,1.4540867607803973,0.0001017719010105253
7200,0.28599702074086036,0.7702266006138847,7.324815475980207e-05
7600,0.31356466898279356,1.7011923002669485,5.584803821730962e-05
8000,0.267460697417988,0.6385327083702295,5e-05
