step,conditional_fm_loss,grad_norm_preclip,learning_rate
1,1.2301336081350747,2.033072028503638,0.0009999999633745155
400,0.10923908527863431,1.830348512991602,0.0009941519617826906
800,0.0870361128913626,0.2702090993959529,0.000976751845240198
1200,0.08285890541252777,0.7045506599554666,0.0009482280989894747
1600,0.07736258954996107,0.27738627673790267,0.0009092830723281
2000,0.07465651465406094,0.2829992545080256,0.0008608757210636101
2400,0.07729517244087315,0.1727750411682197,0.0008041979948389249
2800,0.08380674582491288,0.5816682394153624,0.0007406454873762848
3200,0.08368127690240981,0.4513856762801286,0.0006717830723281001
3600,0.07857388122475059,0.14008251832265614,0.0005993063708941098
4000,0.08463009204714164,1.0511729015193199,0.0005250000000000001
4400,0.07675243958630623,0.08926318764400049,0.0004506936291058902
4800,0.08231445946745226,0.29706872485130154,0.0003782169276719
5200,0.077809442448215,0.8408239800409941,0.00030935451262371525
5600,0.07901053445057063,0.14938827777551822,0.00024580200516107533
6000,0.08030841506406831,0.20004751079930716,0.00018912427893638995
6400,0.08017080466664064,0.11465227126187194,0.00014071692767190003
6800,0.07667939795351383,0.8362484592310763,0.0001017719010105253
7200,0.07698745843882648,0.6197493125425104,7.324815475980207e-05
7600,0.07774605645383731,0.33537526880394786,5.584803821730962e-05
8000,0.0764511891696674,0.25049208619234,5e-05
