design_index,design_id,dense_target_range_valid,dense_target_joint_feasible,domain_grid_hull_maximum_violation,domain_grid_worst_target_lp_linf_residual,domain_grid_resolution,minimum_smoothed_moment,maximum_smoothed_moment,minimum_raw_moment,classification,failure_reason,dense_projection_valid,multiplier_dynamics_valid,tangent_action_valid,full_action_valid,gram_rank_constant,gram_rank_values,tangent_rank_sensitivity_valid,maximum_relative_tangent_rank_action_change,tangent_rank_tolerance_actions,maximum_moment_residual,maximum_soft_projection_stationarity_residual,minimum_covariance_eigenvalue,maximum_covariance_condition,maximum_gram_compatibility_residual,tangent_action,bandwidth_sensitivity_valid
307,design_000307,True,True,-3.2778959728356706e-05,1.3877787807814457e-16,128x68,4.419360868419465e-05,0.8669930350114162,4.502147509586615e-06,pending_dense_projection,,True,True,True,False,True,4,True,0.0,1e-10:1097550.3348442654;1e-12:1097550.3348442654;1e-14:1097550.3348442654,0.03126171732526535,9.294774327087852e-10,2.500023077761583e-05,1892.7054816237592,1.4758410886305293e-15,1097550.3348442654,True
182,design_000182,True,True,-2.389693158798362e-09,1.5221682117655484e-15,128x68,2.0923592531973634e-09,0.6445438415636175,1.5283745192895916e-11,pending_dense_projection,,True,True,True,False,False,3;4,True,0.0047919178152062165,1e-10:1235077.1090200162;1e-12:1235077.1090200162;1e-14:1240995.4970218826,0.05145642036619279,9.300857625452106e-10,2.500000000004005e-05,4224.391553388586,1.5550938305211927e-07,1235077.1090200162,True
56,design_000056,True,True,-0.00037999326732312687,3.3306690738754696e-16,128x68,0.0008683267089427201,0.6897659516133826,0.0001687778168276715,pending_dense_projection,,True,True,True,False,True,4,True,0.0,1e-10:744901.63265902095;1e-12:744901.63265902095;1e-14:744901.63265902095,0.06646916156037018,9.918566462840982e-10,2.501745191207717e-05,2234.261048792632,1.2425450423780056e-15,744901.632659021,False
318,design_000318,True,True,-1.0211377677632494e-08,7.927455781145455e-13,128x68,5.4055949819358334e-09,0.7687930566868205,5.6205572573331157e-11,pending_dense_projection,,True,True,True,False,False,3;4,True,0.05146008826514979,1e-10:853506.63807729445;1e-12:883050.31770827458;1e-14:897428.16500764329,0.036666980394494335,9.234502273161264e-10,2.5000000000187443e-05,3364.8113015926456,5.741776742734184e-06,853506.6380772945,False
252,design_000252,True,True,-1.5364761082814122e-05,1.3877787807814457e-16,128x68,2.190616121161205e-05,0.6681293071358525,1.7971670076284466e-06,pending_dense_projection,,True,True,True,False,False,3;4,True,0.0005925441092032522,1e-10:926056.46967721113;1e-12:926605.19898310793;1e-14:926605.19898310793,0.042672042018947316,8.956307556781781e-10,2.5000129481213364e-05,3066.165102037285,5.7399654670282175e-06,926056.4696772111,False
340,design_000340,True,True,-6.696928589051325e-07,5.551115123125783e-17,128x68,7.397572019833325e-07,0.7995896789265617,2.60818146314887e-08,pending_dense_projection,,True,True,True,False,False,3;4,True,0.07569742541485645,1e-10:897067.25075325684;1e-12:933750.9494500797;1e-14:964972.93205926183,0.04908833575936803,8.894438074065332e-10,2.5000000453623312e-05,5434.074658558636,2.8378491509297203e-06,897067.2507532568,True
218,design_000218,True,True,-9.280805864360807e-05,1.734723475976807e-18,128x68,0.00021813512664389467,0.8791265438485497,3.14059002937125e-05,pending_dense_projection,,True,True,True,False,True,4,True,0.0,1e-10:1041721.3284615687;1e-12:1041721.3284615687;1e-14:1041721.3284615687,0.0633607088174882,9.469405710955417e-10,2.5002829791169237e-05,1734.7593865873107,1.4258963192078214e-15,1041721.3284615687,True
88,design_000088,True,True,-4.145412007001429e-05,1.1102230246251565e-16,128x68,6.564790006799701e-05,0.8766622631286503,9.55966164788239e-06,pending_dense_projection,,True,True,True,False,True,4,True,0.0,1e-10:1191916.6724783266;1e-12:1191916.6724783266;1e-14:1191916.6724783266,0.030250056344104295,9.166935182004733e-10,2.500073647351165e-05,3032.2387700127915,2.1415922220220187e-15,1191916.6724783266,True
31,design_000031,True,True,-5.5569500663359415e-09,1.2063961885170981e-12,128x68,3.3652726916915126e-12,0.8954122327370055,3.561603481417193e-15,pending_dense_projection,,True,True,True,False,False,2;3;4,True,0.01295984251183244,1e-10:1826078.3697165169;1e-12:1828503.6167774224;1e-14:1849744.0578023067,0.05549483495726751,9.505813251456577e-10,2.5e-05,4009.8317399095486,1.9149740204014602e-06,1826078.369716517,True
343,design_000343,True,True,-6.363320912655786e-09,5.624007847607957e-10,128x68,9.339793057561142e-10,0.8833356818524564,5.4382024185466355e-12,pending_dense_projection,,True,True,True,False,False,3;4,True,0.006594395728549886,1e-10:1146764.696375618;1e-12:1147760.1236739405;1e-14:1154326.9165910492,0.029493694538647433,9.755439485545053e-10,2.5000000000014492e-05,4228.650129236268,4.007550986900822e-07,1146764.696375618,False
