role,trajectory_count,evaluation_time_count,observation_count,strictly_inside_count,strictly_inside_fraction,outside_count,boundary_count,minimum_distance_to_xmin_km,minimum_distance_to_xmax_km,minimum_distance_to_ymin_km,minimum_distance_to_ymax_km
inference,200,19,3800,3800,1.0,0,0,82.44886239730545,879.916506508423,185.07512365902767,109.74919784870087
validation,70,19,1330,1330,1.0,0,0,238.18215450093356,812.4755673724526,267.10405106196094,241.1962464200252
