endpoint,n_atoms,scott_factor,bandwidth_xx_km2,bandwidth_xy_km2,bandwidth_yy_km2,bandwidth_min_eigenvalue_km2,bandwidth_max_eigenvalue_km2,bandwidth_condition,mean_loo_log_density,minimum_loo_log_density,empirical_mean_x_km,empirical_mean_y_km,kde_mean_x_km,kde_mean_y_km,kde_robust_spread_km,kde_outside_domain_fraction,hdr_50pct_log_density_threshold,hdr_90pct_log_density_threshold,hdr_95pct_log_density_threshold,hdr_99pct_log_density_threshold
day0,200,0.41351855420001377,15.440640498316338,2.184231181024226,1111.4963508041526,15.436287757063369,1111.5007035454055,72.0056998831732,-9.252412416630758,-14.39301814584364,-76.4278304093965,-78.28931758738834,-76.41256789809889,-78.22735110400659,50.73646776580559,0.0,-9.10429895395325,-10.79573974429952,-11.451469142402301,-12.74630424594149
day45,200,0.41351855420001377,76011.19137171099,17951.78324766775,18217.362031000106,13095.190892988387,81133.3625097227,6.1956609241308795,-14.891900272127675,-19.83915489119248,642.1080950731053,55.8161177860927,644.8385130182488,54.583024107779025,629.9654218945659,0.0195,-14.863333443344,-16.125216737507074,-16.71913586493202,-18.151749794045465
