design_index,design_id,pilot_time_count,successful_reported_floor_time_count,physical_pde_valid_time_count,compatibility_valid_time_count,pointwise_tangent_full_valid_count,grid_refinement_valid_time_count,operator_floor_sensitivity_valid_time_count,rank_sensitivity_valid_time_count,unstabilized_successful_time_count,pilot_node_tangent_action,pilot_node_full_action,integrated_tangent_full_inequality_valid,canonical_181_time_tangent_action,maximum_grid_relative_action_change,maximum_positive_floor_relative_action_change,maximum_physical_relative_pde_residual,maximum_compatibility_relative_residual,maximum_underflow_cell_fraction,maximum_relative_rank_action_change,pilot_full_action_valid,full_action_valid,final_test_accessed
56,design_000056,5,5,0,5,5,5,5,5,5,754275.3663202296,1212916.4292084794,True,744901.632659021,0.21239575174267247,0.0,nan,5.5838207562907873e-14,0.9136075926682581,0.003996094062163415,True,False,False
88,design_000088,5,5,0,5,5,5,5,5,5,1427315.8304782158,4904591.773176262,True,1191916.6724783266,0.26060976833636773,0.0,nan,2.2528897077071312e-14,0.9119302093861781,0.010032156594434925,True,False,False
138,design_000138,5,5,0,5,5,5,5,5,5,1175751.9967135633,1859676.458261274,True,1877866.8958318827,0.14443588139554053,0.0,nan,1.054906844860136e-13,0.9134068801387784,0.0021474405514981007,True,False,False
192,design_000192,5,5,0,5,5,5,5,5,5,1005817.0070304916,2456668.2909863507,True,799560.1929874035,0.43554961706920403,0.0,nan,1.9856681240808666e-14,0.9152634710364652,0.020303989656308957,True,False,False
223,design_000223,5,5,0,5,5,5,5,5,5,1132166.3172281024,5054228.450698204,True,1147843.8645748121,0.0028455267887930874,0.0,nan,1.128958756405476e-14,0.9120233973462937,0.028053955310962154,True,False,False
241,design_000241,5,5,0,5,5,5,5,5,5,1944256.3167407748,4216433.768795878,True,1026012.4451500893,0.42394793136858366,0.0,nan,7.874501959489982e-14,0.9135430779266396,0.03633109400643013,True,False,False
