panel_label,design_index,design_id,source_time_index,day,grid_nx,grid_ny,dx_km,formulation,converged,scientifically_valid,action,weak_action,action_identity_relative_error,tangent_action,tangent_lower_bound,direct_ritz_action,direct_ritz_qr_svd_status,direct_ritz_certification_status,scaled_relative_residual,original_conservative_relative_residual,score_form_relative_residual,weighted_mean_potential,iteration_count,solve_seconds,preconditioner,solver_error,minimum_log_q_mass,maximum_log_q_mass,log_q_range,minimum_log_face_conductance,maximum_log_face_conductance,log_conductance_range,minimum_scaled_log_coefficient,genuine_scaled_conductance_underflow_count,genuine_scaled_rhs_underflow_count,score_magnitude_median,score_magnitude_p95,score_magnitude_maximum,centered_cell_peclet_maximum,centered_cell_peclet_above_one_fraction,projected_multiplier_recovery_max_abs_error,reference_log_density_centered_max_abs_error,reference_log_density_centered_rms_error,density_modified,operator_regularized,precision,production_run,final_test_accessed
requested_day_10_overlap,218,design_000218,40,10.0,219,117,16.666666666666668,analytic_score_centered_difference,0,0,240.43290750037863,-13626.522060847275,1.017644480846012,2336106.9959349465,0,3017904.6231089383,pass,certified,1.5328237980949866,1.0155285341273677,1.7277564336034577,-1.6598080633823868e-14,2000,29.558427711996046,diagonal (ILU unavailable: RuntimeError) of centered score operator,,-36113.22493184023,-5.899509723696866,36107.32542211653,,,,,0,0,0.6020760900668602,26.215209875249947,1708.9124433006468,14240.937027505392,0.8027943644382001,2.8368418725222e-12,1.0541612027736846e-10,6.278196737534433e-12,0,0,float64,0,0
certified_late_overlap_day_22.5,218,design_000218,90,22.5,219,117,16.666666666666668,log_row_scaled_conservative_fv,0,0,,,Infinity,189041.38285100524,0,1116145.023022607,pass,certified,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-5050.84761607867,-7.25171169407705,5043.595904384593,-4520.8206917904,-12.879150994129766,4507.94154079627,-1536.9000546046086,23,13,,,,,,4.2721381987576024e-13,5.950795411990839e-12,3.665061143379368e-13,0,0,float64,0,0
certified_late_overlap_day_22.5,218,design_000218,90,22.5,219,117,16.666666666666668,analytic_score_centered_difference,0,0,1.5712469345287419,-503.91341544962205,1.0031180891128424,189041.38285100524,0,1116145.023022607,pass,certified,1.8280098212754199,1.0043027630309098,1.9874939491136705,5.421915321978622e-15,2000,45.95685291100017,diagonal (ILU unavailable: RuntimeError) of centered score operator,,-5050.84761607867,-7.25171169407705,5043.595904384593,,,,,0,0,0.06106312033594107,3.308064826703139,184.75134033411774,1539.5945027843147,0.3864887015571947,4.2721381987576024e-13,5.950795411990839e-12,3.665061143379368e-13,0,0,float64,0,0
certified_late_overlap_day_45,218,design_000218,180,45.0,219,117,16.666666666666668,log_row_scaled_conservative_fv,0,0,,,Infinity,58413.68656118495,0,389184.9690273416,pass,certified,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-2055.904483027437,-8.14317150382672,2047.7613115236102,-1820.2290757146282,-13.770261090548939,1806.4588146240792,-646.8900715170407,0,1,,,,,,2.0344836926255994e-13,2.5135449277513544e-12,7.00054017356085e-14,0,0,float64,0,0
certified_late_overlap_day_45,218,design_000218,180,45.0,219,117,16.666666666666668,analytic_score_centered_difference,0,0,390348.3394256017,390158.71402901685,0.000485785073055244,58413.68656118495,1,389184.9690273416,pass,certified,0.0011633232811286722,0.03497817254520264,0.002621258357242243,-3.5157727572790343e-10,676,12.829086593999818,SuperLU ILU of centered score operator,,-2055.904483027437,-8.14317150382672,2047.7613115236102,,,,,0,0,0.0075204984561156,0.7111169035959918,93.82827758100406,781.9023131750339,0.15927096749014558,2.0344836926255994e-13,2.5135449277513544e-12,7.00054017356085e-14,0,0,float64,0,0
day_zero_fixed_subset,312,design_000312,0,0.0,219,117,16.666666666666668,log_row_scaled_conservative_fv,0,0,,,Infinity,4087024.729720611,0,9543627.901477424,fail,unresolved,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-298864.4919255147,-2.899946464502662,298861.5919790502,-298852.2629476434,-8.536767790322084,298843.7261798531,-3268.792686743953,49018,16403,,,,,,2.8130386908742366e-11,2.710294211283326e-10,4.3792254713607384e-11,0,0,float64,0,0
day_zero_fixed_subset,312,design_000312,0,0.0,219,117,16.666666666666668,analytic_score_centered_difference,0,0,20126285.022221263,11399456.55901825,0.43360354151637,4087024.729720611,1,9543627.901477424,fail,unresolved,0.09132906152798967,4.344666943456164,0.001419520861529173,3.5501631489940047e-10,4,0.01687494100042386,SuperLU ILU of centered score operator,,-298864.4919255147,-2.899946464502662,298861.5919790502,,,,,0,0,78.89006227909549,185.63764716936944,196.67272586735965,1638.9393822279972,0.9979705733130391,2.8130386908742366e-11,2.710294211283326e-10,4.3792254713607384e-11,0,0,float64,0,0
maximum_rank_failure,312,design_000312,20,5.0,219,117,16.666666666666668,log_row_scaled_conservative_fv,0,0,,,Infinity,22830418.624883924,0,6101417418.641838,pass,certified,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-183136.16274360954,-3.7683396471485633,183132.3944039624,-178987.05751748502,-9.424216913521903,178977.6333005715,-61177.4342191223,8658,3091,,,,,,7.315037464650231e-12,5.579465778282611e-10,4.436828216096294e-11,0,0,float64,0,0
maximum_rank_failure,312,design_000312,20,5.0,219,117,16.666666666666668,analytic_score_centered_difference,0,0,3595.3045235760346,-90907.97120171192,1.0395488368737056,22830418.624883924,0,6101417418.641838,pass,certified,7.892691419679237,1.0175330497492139,1.0799758660336474,-8.96973592746424e-14,2000,32.17202523000378,diagonal (ILU unavailable: RuntimeError) of centered score operator,,-183136.16274360954,-3.7683396471485633,183132.3944039624,,,,,0,0,3.741485100401539,187.01558393868513,6335.218726890707,52793.4893907559,0.9507083479686219,7.315037464650231e-12,5.579465778282611e-10,4.436828216096294e-11,0,0,float64,0,0
day_zero_fixed_subset,329,design_000329,0,0.0,219,117,16.666666666666668,log_row_scaled_conservative_fv,0,0,,,Infinity,57593.64655377758,0,335762.01429996983,fail,unresolved,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-298861.2007018664,-2.659062158530695,298858.54163970787,-298848.9717239951,-8.29467125169837,298840.67705274344,-3268.792686743953,49008,16380,,,,,,2.4861890324245906e-11,2.710294211283326e-10,4.3792254713607384e-11,0,0,float64,0,0
