repeat,design_id,style,validation_mmd_risk,feasible,projection_failure_count,minimum_ess_fraction,max_moment_residual,failure_reason_counts
2,design_000000,manual,0.049852807,False,5,0.00502895584834247,0.4885127842795305,"{""coordinate_support_infeasible"": 4, ""low_ess"": 2, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
2,design_000001,manual,0.03568043,False,2,0.005728970879032443,0.33489675868396457,"{""low_ess"": 2, ""moment_residual"": 2, ""native_nonconvergence"": 2}"
2,design_000002,manual,0.045224678,False,5,0.005005450018198008,0.1438703215328283,"{""coordinate_support_infeasible"": 3, ""low_ess"": 3, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
2,design_000003,manual,0.0682007,False,5,0.005014465320644466,0.30613986962629147,"{""coordinate_support_infeasible"": 5, ""low_ess"": 4, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
2,design_000004,manual,0.07938772,False,6,0.005014639128299685,0.48721579044530866,"{""coordinate_support_infeasible"": 5, ""low_ess"": 3, ""moment_residual"": 6, ""native_nonconvergence"": 6}"
2,design_000005,manual,0.07873966,False,7,0.005124494049866715,0.3949041913506695,"{""coordinate_support_infeasible"": 5, ""low_ess"": 4, ""moment_residual"": 7, ""native_nonconvergence"": 7}"
2,design_000006,manual,0.11228857,False,7,0.0051895068630807215,0.4994499533244351,"{""coordinate_support_infeasible"": 6, ""low_ess"": 6, ""moment_residual"": 7, ""native_nonconvergence"": 7}"
2,design_000007,manual,0.03524914,False,4,0.005616833824464632,0.34120121171299694,"{""coordinate_support_infeasible"": 3, ""low_ess"": 3, ""moment_residual"": 4, ""native_nonconvergence"": 4}"
2,design_000008,manual,0.09962041,False,7,0.005003070331074591,0.47273749355935807,"{""coordinate_support_infeasible"": 6, ""low_ess"": 3, ""moment_residual"": 7, ""native_nonconvergence"": 7}"
2,design_000009,manual,0.081980884,False,5,0.0050055766823176,0.3737671097886209,"{""coordinate_support_infeasible"": 5, ""low_ess"": 3, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
