source_time_index,day,layout_count,rank_sensitive_count,rank_sensitive_fraction,median_log10_kappa_C,p25_log10_kappa_C,p75_log10_kappa_C,median_log10_cov_eig_minor,median_log10_cov_area_scale,median_minor_std,median_log_weight_range,fraction_cases_with_zero_float64_weights,median_zero_weight_fraction,median_log10_normal_roundoff_amplification,final_test_accessed
0,0.0,68,0,0.0,14.421822118223904,14.231781408031418,14.958947874220165,1.9984519669781777,2.840471674873503,9.982426175437036,299786.3359482867,1.0,0.91203414980323,12.889054466256805,False
1,0.25,68,1,0.014705882352941176,14.126738183974691,13.941057601700154,14.647108924375118,2.090713873419042,2.9113125357062226,11.101051913372805,299470.80105349957,1.0,0.9006472979075719,12.298886597758381,False
2,0.5,68,2,0.029411764705882353,13.837030350645179,13.655115441633631,14.220798537746843,2.158177323086819,2.9744479427799173,11.99885321136759,299037.2493547861,1.0,0.8882497150598911,11.719470931099353,False
3,0.75,68,2,0.029411764705882353,13.559368338565264,13.372858327541678,13.972987685477513,2.271457760723611,3.0334416578284618,13.66898345515406,298449.1912574614,1.0,0.874841401260188,11.164146906939523,False
4,1.0,68,4,0.058823529411764705,13.295197868416817,13.081384204154917,13.75386896782334,2.357750461314699,3.1072764465335574,15.099811634441577,297730.7171127297,1.0,0.860626653190254,10.635805966642632,False
5,1.25,68,4,0.058823529411764705,13.06337100567092,12.750907153681105,13.328139973514471,2.454827270066205,3.1778950189108395,16.887182185435123,297012.7692731153,1.0,0.8455552927177192,10.172152241150837,False
6,1.5,68,6,0.08823529411764706,12.71899091054279,12.430711742649354,13.054572810550141,2.528048921342484,3.254178065395694,18.366464396363966,296091.7159274406,1.0,0.8294660329885379,9.483392050894574,False
7,1.75,68,12,0.17647058823529413,12.394900612517468,12.118122770538069,12.699944937103556,2.6466412419566456,3.324811149170268,21.058230566333968,294924.5586708104,1.0,0.8129753482003972,8.835211454843932,False
8,2.0,68,20,0.29411764705882354,12.088832437030838,11.812635609830913,12.388864827131437,2.7946853226519863,3.3917816579251827,24.980468456184404,293453.8947545176,1.0,0.7962767825781525,8.223075103870674,False
9,2.25,68,20,0.29411764705882354,11.839873142982473,11.448068869608464,12.149458220021899,2.8518706612064717,3.482127514642022,26.678651798619413,291617.3214910063,1.0,0.7789581586059082,7.725156515773941,False
10,2.5,68,23,0.3382352941176471,11.545145217863542,11.185519982789687,11.843981216367027,2.9712043415817355,3.5468222679589143,30.5976627097429,289344.5729099916,1.0,0.7615678515874211,7.1357006655360795,False
11,2.75,68,19,0.27941176470588236,11.275955375786092,10.85201646651363,11.51849198655761,3.0617908860125436,3.621661113737346,33.98318044344954,286556.360819604,1.0,0.7430413682859867,6.5973209813811815,False
12,3.0,68,21,0.3088235294117647,10.9991052102256,10.509357603279723,11.271765281643,3.209000740142912,3.7108984098026734,40.23907733134604,283170.0107684248,1.0,0.7251241908776156,6.0436206502602,False
13,3.2499999999999996,68,21,0.3088235294117647,10.720759426072881,10.32953884036944,11.007062324499694,3.3125975560557706,3.810478998659576,45.321833802495284,279097.68022042466,1.0,0.7064686780929442,5.4869290819547585,False
14,3.5,68,20,0.29411764705882354,10.49607938758757,10.174581492194397,10.708549683542305,3.41567958086482,3.8705822872387845,51.032015905568926,274252.96753454395,1.0,0.6878203336128972,5.037569004984139,False
15,3.75,68,21,0.3088235294117647,10.249787955347859,9.847426871716554,10.474489711391346,3.532656629754786,3.939101595789006,58.388702391165175,268554.8879929465,1.0,0.6681361691146427,4.544986140504715,False
16,4.0,68,19,0.27941176470588236,10.048289361665248,9.619575006715845,10.264443497428449,3.64616616411074,4.003722343741951,66.5403816844713,261933.2358500515,1.0,0.6483373117423998,4.141988953139492,False
17,4.25,68,16,0.23529411764705882,9.872048176330406,9.382206255900794,10.087527510238733,3.7427572968951495,4.073477750744274,74.37173014279188,254336.85443199653,1.0,0.6288359390120642,3.7895065824698095,False
18,4.5,68,13,0.19117647058823528,9.66904847967534,9.229611735903047,9.929449620353674,3.790472446109643,4.120042593822019,78.57462444566698,245739.30990714784,1.0,0.6088471215672782,3.383507189159679,False
19,4.75,68,15,0.22058823529411764,9.526526114222484,9.088995937741991,9.738941450274158,3.8900875513252577,4.162608260193574,88.11616170225736,236145.89844287524,1.0,0.589098442327405,3.098462458253964,False
20,5.0,68,16,0.23529411764705882,9.384027915176638,8.892365002996359,9.556346556056555,3.9437996594977047,4.20066765225603,93.74091344829402,225599.44995261668,1.0,0.5690666150548733,2.8134660601622725,False
21,5.25,68,18,0.2647058823529412,9.135822256344053,8.729056710016632,9.373951130606251,3.9869171862661235,4.230056676901326,98.50641249730188,214180.89815018425,1.0,0.5489093424514169,2.3170547424971035,False
22,5.5,68,20,0.29411764705882354,8.978360183859579,8.606855820029928,9.236545293945452,4.045193596665341,4.2617335781681325,105.34348154349902,202014.56801889534,1.0,0.5287018917155903,2.002130597528154,False
23,5.75,68,21,0.3088235294117647,8.791737307906637,8.4524072538111,9.10620818043374,4.05829232854871,4.298271696124808,106.94166895650221,189258.11909111193,1.0,0.5089030343433474,1.6288848456222706,False
24,6.0,68,24,0.35294117647058826,8.673563303343617,8.315647783099967,8.958163976208985,4.094903745322715,4.327139455124728,111.54604625043348,176098.3928891378,1.0,0.489326394414457,1.392536836496227,False
25,6.25,68,23,0.3382352941176471,8.56394304154067,8.188964717571224,8.795005319888936,4.129562399666005,4.350301819538698,116.08647831605343,164720.8569623751,1.0,0.47021211013383224,1.1732963128903355,False
26,6.499999999999999,68,23,0.3382352941176471,8.378462046096,8.043072733640866,8.632595022987033,4.12948636857241,4.371421949764629,116.0762180242917,154331.30464004393,1.0,0.45119459796563516,0.8023343220009982,False
27,6.75,68,25,0.36764705882352944,8.204876470729669,7.933774638099271,8.450967260795217,4.150828538266718,4.388174162185429,118.96368752545429,144171.9353748937,1.0,0.43228461036680216,0.45516317126833733,False
28,7.0,68,22,0.3235294117647059,8.045956433153153,7.800035542844725,8.319034096975232,4.167545798237441,4.408917468837387,121.27581621618438,134314.1120367695,1.0,0.41409862153502075,0.13732309611530286,False
29,7.250000000000001,68,19,0.27941176470588236,7.9128871376182115,7.675248412700024,8.13042727231137,4.174445986013269,4.421072098345864,122.24276509116144,124818.94770338142,1.0,0.3961312659942797,-0.12881549495457953,False
