design_index,design_id,bandwidth_label,source_time_index,day,projection_valid,projection_backend,moment_residual,soft_projection_stationarity_residual,soft_projection_penalty_trace,lambda_norm,KL,log10_intrinsic_ESS,covariance_minimum_eigenvalue,covariance_maximum_eigenvalue,covariance_condition,multiplier_coordinate_ready,lambda_dot_norm,lambda_dot_solve_relative_residual,gram_rank,gram_compatibility_relative_residual,gram_compatible,tangent_action_density,iterations
216,design_000216,nominal,0,0.0,True,tesseract_cpp_soft_uncertainty_penalized,0.00966391331731474,3.660063561925951e-16,0.00038034626289376854,228.81547469131004,1.9159349786965978,-259173.11962812135,2.5000000000330398e-05,0.008151148447055029,326.04593787789213,True,10065.832849489181,2.2363773703749863e-16,3,1.1963086591895902e-10,True,126721.60659345148,6
216,design_000216,nominal,1,0.25,True,tesseract_cpp_soft_uncertainty_penalized,0.011352897937383,8.297207048156352e-16,0.0004036096284538787,286.5817038871242,1.8448183836089969,-258666.03285732368,2.5000000001101913e-05,0.009876910533942549,395.0764213402884,True,12554.957866029874,1.0144353984077332e-15,3,1.7994362175484219e-10,True,180999.75949511363,4
216,design_000216,nominal,2,0.5,True,tesseract_cpp_soft_uncertainty_penalized,0.014801170602373572,9.219670767089016e-10,0.00043178520366673025,361.0909602697182,1.8138545860390747,-257982.16289635884,2.5000000003770284e-05,0.011805385275410156,472.2154109451908,True,14606.07296453344,2.1827585473856358e-16,3,2.5717140409934776e-10,True,309937.07326599315,3
216,design_000216,nominal,3,0.75,True,tesseract_cpp_soft_uncertainty_penalized,0.020109633297136248,2.9222742964111075e-14,0.0004654958482987826,442.46307986794454,1.7680000187517175,-257090.89127383166,2.5000000013139495e-05,0.014928508093380782,597.1403234213864,True,14785.367646199904,4.180862224129032e-16,3,5.125084934382429e-10,True,612126.8925894932,4
216,design_000216,nominal,4,1.0,True,tesseract_cpp_soft_uncertainty_penalized,0.027774050060326846,1.41903961496938e-10,0.0005052001765557103,516.9083012140235,1.7939645598785818,-256189.20937009584,2.5000000046081863e-05,0.020045078560866403,801.8031409567128,True,11853.474482441234,3.4461773890186704e-16,3,1.3910433031953609e-09,True,1685869.0176701564,4
216,design_000216,nominal,5,1.25,True,tesseract_cpp_soft_uncertainty_penalized,0.037693475304730335,1.5290635015232548e-11,0.0005510996499654936,566.5217698745718,1.9976426257940898,-255040.82773305775,2.5000000160508845e-05,0.028959524310899293,1158.380964998756,True,5835.4541634051275,1.093758866959768e-16,3,3.786996818089143e-09,True,4942101.521407157,5
216,design_000216,nominal,6,1.5,True,tesseract_cpp_soft_uncertainty_penalized,0.048716605075236515,2.0100019376478354e-10,0.0006030689689741058,578.5660090789154,2.5930312363919175,-253590.59198922676,2.5000000547329307e-05,0.04216621772516357,1686.6486720804528,True,1598.0940851054238,5.022029328813718e-17,3,8.374186395415103e-09,True,8757479.007721718,5
216,design_000216,nominal,7,1.75,True,tesseract_cpp_soft_uncertainty_penalized,0.05915505851398269,1.5393197742239015e-13,0.0006606307810396085,552.4951223996171,3.8172252679043686,-251775.431206332,2.5000001813601733e-05,0.057179474805711956,2287.178826307219,True,8232.610013371992,9.003153311742973e-17,3,1.8636551900182755e-08,True,11477649.375895487,5
216,design_000216,nominal,8,2.0,True,tesseract_cpp_soft_uncertainty_penalized,0.06576366231801917,5.691866104778862e-10,0.0007229773239634875,485.70625236001206,6.171457113330885,-249524.58604826225,2.5000005831222408e-05,0.08317688966433011,3327.074810536677,True,15702.858487227664,6.640556933968509e-17,3,5.515637258671059e-08,True,12372984.796277117,7
216,design_000216,nominal,9,2.25,True,tesseract_cpp_soft_uncertainty_penalized,0.0664618050388872,6.688573870962802e-15,0.0007890138276801042,392.37215975957304,9.285904581413323,-246760.7927058438,2.5000017870409604e-05,0.11993969861973225,4797.584515397274,True,16713.239848172834,0.0,3,1.6467110020271497e-07,False,5569695.541037782,10
216,design_000216,nominal,10,2.5,True,tesseract_cpp_soft_uncertainty_penalized,0.06417191158778413,3.768598129903146e-14,0.0008573944819151888,307.80611336717146,11.604341067807335,-243402.28887779787,2.5000052021789425e-05,0.14686062244745746,5874.412673999934,True,13721.060840331986,1.4803168978159472e-16,3,3.6167274917460033e-07,False,1662683.0935826248,10
216,design_000216,nominal,11,2.75,True,tesseract_cpp_soft_uncertainty_penalized,0.06034045714753139,7.947854785413776e-16,0.0009265553883885857,239.78606166636888,12.805070280922667,-239365.61384313615,2.5000144360802823e-05,0.16429863650299395,6571.907511085983,True,10653.003160334327,2.6731213293505645e-16,3,6.998533061369186e-07,False,399906.61057589576,11
216,design_000216,nominal,12,3.0,True,tesseract_cpp_soft_uncertainty_penalized,0.05591001567098885,5.072605716162492e-13,0.0009947817310339134,187.81281048131856,13.118395799238977,-234570.9852929961,2.5000381857504497e-05,0.1748664723224203,6994.552056009085,True,8214.188205562028,4.806681077363362e-17,3,1.0906098093812282e-06,False,214147.74902212003,11
216,design_000216,nominal,13,3.2499999999999996,True,tesseract_cpp_soft_uncertainty_penalized,0.05102850553094068,1.1425537042593493e-13,0.0010603382713889838,147.7869092741895,12.79763415757926,-228946.60647466747,2.5000962498078954e-05,0.18048287884997644,7219.037221620749,True,6342.926868166024,1.4716625450313252e-16,3,4.3674974024209493e-07,False,490205.6708075552,9
216,design_000216,nominal,14,3.5,True,tesseract_cpp_soft_uncertainty_penalized,0.04595864440813189,4.4502397719212355e-11,0.001121651909091856,116.89434254325548,12.060411609245154,-222435.98218232056,2.50023125021208e-05,0.1823140828087517,7291.88881201637,True,4920.3853577684395,2.032742239475931e-16,3,6.306009035393901e-07,False,1001168.3896469693,9
216,design_000216,nominal,15,3.75,True,tesseract_cpp_soft_uncertainty_penalized,0.04093131096466908,5.076671996494084e-14,0.0011774988284517665,92.96760928601527,11.080268744460852,-215004.91394865655,2.5005302114659677e-05,0.181293088790565,7250.185898944993,True,3842.6819632622105,4.15548951988481e-21,3,1.6488972345251095e-06,False,1639092.0770146279,9
216,design_000216,nominal,16,4.0,True,tesseract_cpp_soft_uncertainty_penalized,0.03600443551105216,2.3153925514919248e-15,0.0012271392180682127,74.1207765687745,9.956079656200552,-206647.5010170779,2.5011622904264907e-05,0.1780870163475635,7120.170371559401,True,3024.0047743809364,8.084450985863346e-17,3,2.7905068179213388e-06,False,2337025.5046920693,7
216,design_000216,nominal,17,4.25,True,tesseract_cpp_soft_uncertainty_penalized,0.03154177290200741,3.4264500539190415e-15,0.0012703592896532677,59.74242240314132,8.842748146918757,-197395.48489143114,2.502441567886788e-05,0.17359736862907094,6937.1197656242175,True,2434.2934001648496,0.0,4,4.4408240199752176e-16,True,3251333.3997201575,7
216,design_000216,nominal,18,4.5,True,tesseract_cpp_soft_uncertainty_penalized,0.0275100341633042,5.952919364606034e-11,0.0013074123580074405,48.96176476151419,7.77842862687443,-187317.46343880062,2.5049259181620105e-05,0.16830896212789323,6719.119352295654,True,2049.9402647308675,1.766636236894794e-16,4,2.4420623125806114e-16,True,3911289.4229917442,6
216,design_000216,nominal,19,4.75,True,tesseract_cpp_soft_uncertainty_penalized,0.02393709854393595,4.453005090586519e-15,0.001338885305611335,41.80772031630728,6.80203574916191,-176522.27409057025,2.5095616600610888e-05,0.16270546934138094,6483.421863299438,True,1885.7660061820118,1.0149782490479278e-16,4,3.9824329934842257e-16,True,4417599.896922511,6
216,design_000216,nominal,20,5.0,True,tesseract_cpp_soft_uncertainty_penalized,0.02082017060767146,1.1217125769182395e-10,0.0013655410374883309,39.0747511309178,5.9331712218150106,-165155.3101553552,2.517873543978681e-05,0.1572014085210272,6243.419527440662,True,1957.295476401495,1.5171673262104987e-16,4,5.534978864884659e-16,True,4749042.13867685,6
216,design_000216,nominal,21,5.25,True,tesseract_cpp_soft_uncertainty_penalized,0.018083551045391975,3.2804217207829546e-15,0.001388191032848989,41.77766251062117,5.160427272122353,-154745.24308672274,2.5321751757567977e-05,0.15204372449816184,6004.471015822202,True,2239.929544814482,2.0904472952988072e-19,4,4.954877978605464e-16,True,4913193.56045297,5
216,design_000216,nominal,22,5.5,True,tesseract_cpp_soft_uncertainty_penalized,0.01582324827976239,2.439198247871498e-12,0.0014076316427919186,50.29297388560876,4.513574183573869,-145239.9598040517,2.5557372860806886e-05,0.14771942819522238,5779.914430162547,True,2676.9082628614624,1.337823529819707e-16,4,1.3420656169590586e-16,True,4920304.362095935,5
