model,endpoint,sample_n,distribution_n,biased_rbf_mmd2,energy_distance_km,mean_error_km,mean_error_over_empirical_rms_spread,relative_covariance_frobenius_error,outside_domain_fraction,generated_mean_x_km,generated_mean_y_km,generated_cov_xx,generated_cov_xy,generated_cov_yy,frozen_rbf_bandwidth_km,accepted
old_discrete,day0,2500,4000,6.539797208215958e-07,0.017662455642380337,9.532931148469529e-14,1.1742799397872052e-15,0.0047511877969491825,0.0,-76.42783040939649,-78.28931758738833,89.86836064890977,12.712772321248309,6469.187004927477,570.471357024878,baseline
old_discrete,day45,2500,4000,0.006207640969130179,8.050944673121535,39.46959184105136,0.053169965227585055,0.10123714499535506,0.0,602.6399351274939,56.1523180342177,485873.3176786953,123101.28090800326,107163.35018843124,570.471357024878,baseline
continuous_kde,day0,2500,200000,1.0295047552455472e-05,0.32961899236620695,0.12740863579758835,0.0015694375931455437,0.16204629326376674,0.0,-76.42274155712124,-78.41662455521998,105.34072429929641,11.363227627876762,7553.378707365654,570.471357024878,True
continuous_kde,day45,2500,200000,0.013358881297614866,20.49930625074512,147.55286236047277,0.19877024805656063,0.25549318145914757,0.02538,498.33145554852365,22.64798371458697,556757.731072777,136482.4673295802,128794.41963144804,570.471357024878,False
