step,conditional_fm_loss,grad_norm_preclip,learning_rate
1,1.1680566356785764,1.8603959839502011,0.0009999999633745155
400,0.09674686488148801,0.28493829613541705,0.0009941519617826906
800,0.08190898429312857,0.265987051475241,0.000976751845240198
1200,0.09747659629459662,0.6933005637166303,0.0009482280989894747
1600,0.08338209773132904,0.22037547193394197,0.0009092830723281
2000,0.07523659190408857,0.12497592677990658,0.0008608757210636101
2400,0.07900946970506866,0.3912088300460249,0.0008041979948389249
2800,0.0838091787010139,0.4192423065808081,0.0007406454873762848
3200,0.08207329821479567,0.3694166610014438,0.0006717830723281001
3600,0.07929552461096559,0.22120452538133786,0.0005993063708941098
4000,0.08009908772613673,0.5217030640443756,0.0005250000000000001
4400,0.08576071978670363,1.0428953422231186,0.0004506936291058902
4800,0.08101765006949915,0.5581833850611503,0.0003782169276719
5200,0.07153150172577885,0.25507921672191614,0.00030935451262371525
5600,0.0775546986689888,0.27851016375002147,0.00024580200516107533
6000,0.0800177224438688,0.1878966653856316,0.00018912427893638995
6400,0.08364572618170743,0.40549836092405106,0.00014071692767190003
6800,0.07590334787561565,0.35231664826437575,0.0001017719010105253
7200,0.08206393743783813,0.0534002902747621,7.324815475980207e-05
7600,0.0822594573020132,0.2584716216011822,5.584803821730962e-05
8000,0.07603254055901958,0.4358126747241586,5e-05
