theta1_deg,theta2_deg,proxy_action,prescreen_action,full_action,action_valid,screened_candidate_count,exact_law_audited_count,exact_law_valid_count,exact_finalist_count
21.218481533544225,68.84605997349458,563.1540341576963,267.39221803787575,245.94338966665285,True,49,30,28,12
22.273175652059717,68.17514990771168,642.9692811859868,300.2323015986438,273.02671183072965,True,49,30,28,12
22.410005950428005,67.67390589334437,656.0509801596506,306.1968045134528,279.7466020692906,True,49,30,28,12
22.534820652904035,68.05790992851598,662.3144354229647,308.20116221078143,279.399512391485,True,49,30,28,12
22.724705572079376,68.07559684548474,675.8096630553449,313.6305219416338,283.28775612107944,True,49,30,28,12
22.80793587294019,67.84972740458106,682.9806621635516,316.8509033603098,286.70113468921477,True,49,30,28,12
22.693555893672148,66.62061449726356,680.409209376767,317.684894679392,293.17233044137805,True,49,30,28,12
23.0867771118319,69.06085054685987,697.4724315812032,321.0309113216245,284.18156513436475,True,49,30,28,12
23.034993284791422,68.16538725450745,698.0254994405711,322.4809373500761,289.351244809715,True,49,30,28,12
23.315788098422363,68.01511435621846,719.4463777306144,331.3550339109556,296.5538726958928,True,49,30,28,12
24.439610549257697,67.28087707534854,803.7828564687999,366.7390173646883,325.9354524176615,True,49,30,28,12
23.3849164307422,67.95178714113145,724.7756351273379,333.6057821375541,298.4982416693375,True,49,30,28,12
