design,eta,centers,population_loss_selection,finite_risk_selection,tangent_action_selection,full_action_selection,validation_law_mean,validation_full_action_mean,validation_valid_fraction
population,"[1.0677735876295482, 0.3888497650780996, 0.44663968502596, 0.76, 1.76, 0.24, 0.25441635922828076, 0.5769221025462452]","[[1.0677735876295482, 0.3888497650780996], [0.44663968502596, 0.76], [1.76, 0.24], [0.25441635922828076, 0.5769221025462452]]",0.03773928370170818,0.03840239162456266,0.45517604586167426,3.9600073456190095,0.03842558332602178,3.8171099836381126,1.0
law,"[1.0774891212832711, 0.3889629313939575, 0.47979845508739755, 0.76, 1.76, 0.24, 0.25733609301333177, 0.6029558273745435]","[[1.0774891212832711, 0.3889629313939575], [0.47979845508739755, 0.76], [1.76, 0.24], [0.25733609301333177, 0.6029558273745435]]",0.03795784907614664,0.038387442011195885,0.44776052467258637,3.458634259517504,0.03837837691679227,3.3629175359947823,1.0
tangent,"[0.36130493244222817, 0.7284352975437399, 1.2035177019806917, 0.5661737238534906, 1.0439766750675599, 0.3409768584318466, 0.6580811105931632, 0.36997382119976935]","[[0.36130493244222817, 0.7284352975437399], [1.2035177019806917, 0.5661737238534906], [1.0439766750675599, 0.3409768584318466], [0.6580811105931632, 0.36997382119976935]]",0.05376567419031598,0.053880764946896524,0.16863405173277787,2.8861219694781517,0.05391798186845875,2.9007225726657246,1.0
full,"[0.4409331194268675, 0.4275417544183038, 1.6857386599090753, 0.3839449956253396, 0.6346780557440335, 0.6066856016591174, 1.6541940393918804, 0.7556416057370553]","[[0.4409331194268675, 0.4275417544183038], [1.6857386599090753, 0.3839449956253396], [0.6346780557440335, 0.6066856016591174], [1.6541940393918804, 0.7556416057370553]]",0.05631596963296423,0.05545815504243314,0.17949300484722083,1.5884598134841488,0.05530396996396266,1.6634437296508322,1.0
