theta1_deg,theta2_deg,proxy_action,prescreen_action,full_action,action_valid,screened_candidate_count,exact_law_audited_count,exact_law_valid_count,exact_finalist_count
19.957868904610272,65.96574304984365,529.1323785194253,256.57823327004616,252.66363975223368,True,49,30,30,12
21.218481533544228,68.8460599734946,563.1540341574341,267.3922180376358,245.94338966644025,True,49,30,30,12
19.953234793553687,63.906924731575444,557.601776350333,270.63489766301797,274.1653760103752,True,49,30,30,12
20.525199549436877,65.40680433383272,564.894192391632,271.944892684368,266.53684761047134,True,49,30,30,12
20.427204634460406,64.05191340705468,576.0185944637244,278.25770180170525,278.50187256975676,True,49,30,30,12
21.49156099022101,67.7494151080801,594.1192463607783,281.02213121653335,261.05622497922076,True,49,30,30,12
22.132749185957458,68.46044632899354,630.6668124114949,294.9240143987889,267.81702053411954,True,49,30,30,12
22.264752335989634,68.32747305790821,641.1568874124728,299.31198830797223,271.6424995309695,True,49,30,30,12
22.31928120618375,67.75296215590504,649.2824574246824,303.34561914719256,277.29076948373415,True,49,30,30,12
21.73861075880462,62.16040114084263,646.2331635667006,311.18237856291256,311.52082059293986,True,49,30,30,12
25.16565828493655,64.14644523213045,829.5916468369196,384.02232721525917,353.0666099645198,True,49,30,30,12
23.384916430742205,67.95178714113146,724.77563602497,333.6057821375397,298.4982416694365,True,49,30,30,12
