design,theta1_deg,theta2_deg,population_loss_selection,finite_risk_selection,tangent_action_selection,full_action_selection,validation_law_mean,validation_full_action_mean,validation_valid_fraction
population,23.384916430742205,67.95178714113146,0.0687360118546043,0.06618573672099662,2.683401837403566,298.4982416694365,0.06581583881174527,314.05785338782243,1.0
law,23.384916430742205,67.95178714113146,0.0687360118546043,0.06618573672099662,2.683401837403566,298.4982416694365,0.06581583881174527,314.05785338782243,1.0
tangent,25.16565828493655,64.14644523213045,0.06900219255134,0.06637372448652676,2.259943697335656,353.0666099645198,0.0660450680215592,368.00850643306,1.0
full,21.218481533544228,68.8460599734946,0.06883140339741331,0.06639764175908029,2.9709058689446732,245.94338966644025,0.06599171966601218,255.79390475538014,1.0
