theta1_deg,theta2_deg,proxy_action,prescreen_action,full_action,action_valid,screened_candidate_count,exact_law_audited_count,exact_law_valid_count,exact_finalist_count
22.27317526409132,68.1751498621391,642.9692487899293,300.23229081134275,273.0267041798777,True,49,30,27,11
23.26405625622187,71.72393810240928,692.495191297434,315.89431060897135,268.92938321347714,True,49,30,27,11
22.807935484971793,67.84972735900847,682.9806308307318,316.85089231731064,286.7011268408171,True,49,30,27,11
22.69355550570375,66.62061445169097,680.4091951411841,317.6848845047361,293.17232328328504,True,49,30,27,11
23.38302357457972,71.70758496725956,703.4527510151163,320.2431475349444,272.1684228600435,True,49,30,27,11
23.0867767238635,69.06085050128728,697.4723976262786,321.0308993166207,284.18155654693675,True,49,30,27,11
23.315787710453964,68.01511431064587,719.4463457885489,331.3550223542564,296.55386444828446,True,49,30,27,11
23.47471033491138,69.26558492451655,727.399132369064,332.752839283381,291.8649255745188,True,49,30,27,11
23.384916042773806,67.95178709555886,724.7756028148189,333.60577056667813,298.49823341082447,True,49,30,27,11
23.408353542773806,67.95178709555886,726.5262055355879,334.3137301924815,299.01744796859134,True,49,30,27,11
24.4396101612893,67.28087702977595,803.7828268773555,366.73900546973164,325.93544390653074,True,49,30,27,11
