seed,method,resample,generation_seed,oracle_seed,mmd2,maximum_moment_error,generated_q4_change,generation_minus_tv,generation_plus_tv,oracle_minus_tv,oracle_plus_tv
401,geometric_sinkhorn,0,34401,35401,0.020878100141574152,0.02270782540947185,0.5947622493582048,0.4021688065537665,0.3773221420183413,0.09341296773354696,0.08766013572174247
401,geometric_sinkhorn,1,40140001,40150001,0.008130393452521395,0.014067024415314796,0.6046617152056099,0.412301260070548,0.37289480308103884,0.10918710725098457,0.09803098565432664
401,geometric_sinkhorn,2,40140002,40150002,0.008117544022120088,0.017657109292402263,0.6187558262928183,0.38663807014851537,0.3801344907217433,0.09789470736475964,0.10319828017899968
401,geometric_sinkhorn,3,40140003,40150003,0.014970850826711374,0.022933585411338577,0.625680342188545,0.3654420462023404,0.3875700568996917,0.09191395620210394,0.10537104131068126
401,geometric_sinkhorn,4,40140004,40150004,0.009763976758588283,0.018665246565112953,0.6122020810525339,0.4012794844720624,0.43536147613668985,0.08669366627218583,0.09602478731442557
401,geometric_sinkhorn,5,40140005,40150005,0.011500825595526537,0.016368391207062415,0.6327475429073923,0.36561288459573515,0.38548320096007505,0.10187202486558228,0.08715410682276187
401,geometric_sinkhorn,6,40140006,40150006,0.014442998301507637,0.02281708741155319,0.5915959709931138,0.3731812336220529,0.41205100303596554,0.07181320631422396,0.09507317699465528
401,geometric_sinkhorn,7,40140007,40150007,0.017128336962254853,0.020756167514119156,0.6269530066618076,0.37446309766940167,0.3812737724909777,0.08979009961452866,0.08234736337825856
401,geometric_sinkhorn,8,40140008,40150008,0.010024645006693228,0.018312173930484343,0.5870761745156554,0.38027982958698536,0.43901102401005393,0.09249228595998947,0.10364323550253444
401,geometric_sinkhorn,9,40140009,40150009,0.007228330511208997,0.02025159977468089,0.5960081724820145,0.346235481899049,0.3670074172386378,0.10765309875569253,0.09570565619000648
401,geometric_sinkhorn,10,40140010,40150010,0.01718789532806425,0.025005664982822966,0.6062207007384521,0.4144504624340545,0.460669291569319,0.10231962335649816,0.0954569823676649
401,geometric_sinkhorn,11,40140011,40150011,0.00958666940731523,0.019726660505706643,0.6176376111871007,0.39918840551834667,0.3743321306794467,0.09381041921796676,0.100005081074743
401,geometric_sinkhorn,12,40140012,40150012,0.017155325351409095,0.02539227761573151,0.6179010758269178,0.3828860572081093,0.35701687923262476,0.09362181562240349,0.09216628501504429
401,geometric_sinkhorn,13,40140013,40150013,0.009997045644849045,0.01921540201988687,0.6174681736242839,0.396139911533645,0.3852454629963177,0.09181864367328631,0.0908310949983275
401,geometric_sinkhorn,14,40140014,40150014,0.01295523469158133,0.021118678856608158,0.6079081763925105,0.34645015093925524,0.41191533058832497,0.10842692075069414,0.1226472494626919
401,geometric_sinkhorn,15,40140015,40150015,0.010401927122421384,0.018546326599105257,0.6181187311349211,0.3885504351109478,0.38005638492810473,0.0862924163792133,0.09441696036413788
401,geometric_sinkhorn,16,40140016,40150016,0.01290114377743809,0.02015348234421349,0.6406687479918549,0.39920902226888355,0.3973240762011067,0.07550414318954757,0.10119031430418732
401,geometric_sinkhorn,17,40140017,40150017,0.017869234474634954,0.022458368369241952,0.6258068961582188,0.3798693493743294,0.3726996295868379,0.1117012324986397,0.08698845728134375
401,geometric_sinkhorn,18,40140018,40150018,0.009294052939929853,0.016162398012307365,0.6049782614485817,0.4411389718711002,0.3428469746255457,0.10443138173347011,0.09849230041820747
401,geometric_sinkhorn,19,40140019,40150019,0.011648648938359374,0.021354244878368737,0.6192750674193965,0.43695034589065396,0.41855244340407316,0.0982926118666961,0.08418690134842022
401,fiber_aware,0,34401,35401,0.020878100141574152,0.02270782540947185,0.5947622493582048,0.4021688065537665,0.3773221420183413,0.09341296773354696,0.08766013572174247
401,fiber_aware,1,40140001,40150001,0.008130393452521395,0.014067024415314796,0.6046617152056099,0.412301260070548,0.37289480308103884,0.10918710725098457,0.09803098565432664
401,fiber_aware,2,40140002,40150002,0.008117544022120088,0.017657109292402263,0.6187558262928183,0.38663807014851537,0.3801344907217433,0.09789470736475964,0.10319828017899968
401,fiber_aware,3,40140003,40150003,0.014970850826711374,0.022933585411338577,0.625680342188545,0.3654420462023404,0.3875700568996917,0.09191395620210394,0.10537104131068126
401,fiber_aware,4,40140004,40150004,0.009763976758588283,0.018665246565112953,0.6122020810525339,0.4012794844720624,0.43536147613668985,0.08669366627218583,0.09602478731442557
401,fiber_aware,5,40140005,40150005,0.011500825595526537,0.016368391207062415,0.6327475429073923,0.36561288459573515,0.38548320096007505,0.10187202486558228,0.08715410682276187
401,fiber_aware,6,40140006,40150006,0.014442998301507637,0.02281708741155319,0.5915959709931138,0.3731812336220529,0.41205100303596554,0.07181320631422396,0.09507317699465528
401,fiber_aware,7,40140007,40150007,0.017128336962254853,0.020756167514119156,0.6269530066618076,0.37446309766940167,0.3812737724909777,0.08979009961452866,0.08234736337825856
401,fiber_aware,8,40140008,40150008,0.010024645006693228,0.018312173930484343,0.5870761745156554,0.38027982958698536,0.43901102401005393,0.09249228595998947,0.10364323550253444
401,fiber_aware,9,40140009,40150009,0.007228330511208997,0.02025159977468089,0.5960081724820145,0.346235481899049,0.3670074172386378,0.10765309875569253,0.09570565619000648
401,fiber_aware,10,40140010,40150010,0.01718789532806425,0.025005664982822966,0.6062207007384521,0.4144504624340545,0.460669291569319,0.10231962335649816,0.0954569823676649
401,fiber_aware,11,40140011,40150011,0.00958666940731523,0.019726660505706643,0.6176376111871007,0.39918840551834667,0.3743321306794467,0.09381041921796676,0.100005081074743
401,fiber_aware,12,40140012,40150012,0.017155325351409095,0.02539227761573151,0.6179010758269178,0.3828860572081093,0.35701687923262476,0.09362181562240349,0.09216628501504429
401,fiber_aware,13,40140013,40150013,0.009997045644849045,0.01921540201988687,0.6174681736242839,0.396139911533645,0.3852454629963177,0.09181864367328631,0.0908310949983275
401,fiber_aware,14,40140014,40150014,0.01295523469158133,0.021118678856608158,0.6079081763925105,0.34645015093925524,0.41191533058832497,0.10842692075069414,0.1226472494626919
401,fiber_aware,15,40140015,40150015,0.010401927122421384,0.018546326599105257,0.6181187311349211,0.3885504351109478,0.38005638492810473,0.0862924163792133,0.09441696036413788
401,fiber_aware,16,40140016,40150016,0.01290114377743809,0.02015348234421349,0.6406687479918549,0.39920902226888355,0.3973240762011067,0.07550414318954757,0.10119031430418732
