seed,split,geometric_correction_energy,fiber_correction_energy,geometric_ess_penalty_unscaled,fiber_ess_penalty_unscaled,geometric_ess_penalty_scaled,fiber_ess_penalty_scaled,geometric_total_objective,fiber_total_objective,geometric_minimum_ess,fiber_minimum_ess,geometric_median_ess,fiber_median_ess,geometric_projection_distortion,fiber_projection_distortion,geometric_maximum_moment_error,fiber_maximum_moment_error,delta_correction_energy,delta_ess_penalty_unscaled,delta_ess_penalty_scaled,delta_total_objective,delta_minimum_ess,delta_median_ess,delta_projection_distortion
401,train,0.2713123065487929,0.2713123065487929,0.0019709561033304235,0.0019709561033304235,0.029564341549956352,0.029564341549956352,0.30087664809874926,0.30087664809874926,0.06437798482947445,0.06437798482947445,0.14542304901304734,0.14542304901304734,0.670111884383156,0.670111884383156,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,selection,0.22496713169513566,0.22496713169513566,0.0024375803147105284,0.0024375803147105284,0.036563704720657925,0.036563704720657925,0.26153083641579356,0.26153083641579356,0.08740877077845112,0.08740877077845112,0.12278692201305626,0.12278692201305626,0.6724695743933788,0.6724695743933788,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,evaluation,0.24648512177371001,0.24648512177371001,0.0017685722151160124,0.0017685722151160124,0.026528583226740187,0.026528583226740187,0.2730137050004502,0.2730137050004502,0.0599028292379622,0.0599028292379622,0.1580798981602183,0.1580798981602183,0.5812252435715723,0.5812252435715723,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,train,0.11490047297097913,0.08338364399139642,0.0,0.0,0.0,0.0,0.11490047297097913,0.08338364399139642,0.22126570880716037,0.22802508979230132,0.4085903271226494,0.4207660653117105,0.35920543996829785,0.3432633541365521,1.3597399555105182e-16,1.3597399555105182e-16,-0.03151682897958272,0.0,0.0,-0.03151682897958272,0.00675938098514095,0.012175738189061092,-0.015942085831745723
402,selection,0.09129023202149306,0.08305903992081112,0.0,0.0,0.0,0.0,0.09129023202149306,0.08305903992081112,0.30389696706837493,0.3148666653963086,0.5264602592598581,0.5480826709729507,0.2269380853171158,0.21623140876907604,7.850462293418876e-17,1.6653345369377348e-16,-0.008231192100681933,0.0,0.0,-0.008231192100681933,0.010969698327933652,0.02162241171309265,-0.01070667654803975
402,evaluation,0.10197842150256049,0.0907233596176794,0.0,0.0,0.0,0.0,0.10197842150256049,0.0907233596176794,0.2551327446932166,0.290192534957424,0.5022534808789221,0.5134611874648389,0.27058973173991113,0.24902426138227607,1.3597399555105182e-16,2.0770370905276122e-16,-0.011255061884881096,0.0,0.0,-0.011255061884881096,0.03505979026420736,0.011207706585916855,-0.021565470357635064
403,train,0.172385891837892,0.14198976093825583,3.8909926253731946e-07,1.0887017623693634e-06,5.8364889380597915e-06,1.6330526435540452e-05,0.17239172832683006,0.14200609146469137,0.17773731859541628,0.17621515876302973,0.39311452606169106,0.3798214907415137,0.33075221277181976,0.3321038335991181,5.551115123125783e-17,1.2412670766236366e-16,-0.030396130899636165,6.99602499832044e-07,1.049403749748066e-05,-0.030385636862138687,-0.0015221598323865437,-0.013293035320177338,0.0013516208272983388
403,selection,0.1351483058134827,0.13040304641723816,0.0,3.0149462593549406e-05,0.0,0.0004522419389032411,0.1351483058134827,0.1308552883561414,0.18206714617023353,0.1600825841239813,0.4026854091670523,0.3910124942290619,0.3401430877283744,0.35508998771711675,7.850462293418876e-17,7.850462293418876e-17,-0.004745259396244539,3.0149462593549406e-05,0.0004522419389032411,-0.004293017457341286,-0.021984562046252237,-0.011672914937990386,0.014946899988742324
403,evaluation,0.11881568059159889,0.10856514887704895,0.0,0.0,0.0,0.0,0.11881568059159889,0.10856514887704895,0.19465818677965951,0.20331690135519875,0.38189603484220125,0.3853888188158842,0.35262863392818766,0.3567370282467154,1.2412670766236366e-16,1.2412670766236366e-16,-0.01025053171454994,0.0,0.0,-0.01025053171454994,0.00865871457553924,0.003492783973682967,0.004108394318527719
404,train,0.12848132286005456,0.09874976781115553,0.0,0.0,0.0,0.0,0.12848132286005456,0.09874976781115553,0.18431575053632696,0.19888936420519196,0.3062921323073986,0.30624095479861113,0.4072534178936411,0.41681337602839247,1.3597399555105182e-16,7.850462293418876e-17,-0.02973155504889903,0.0,0.0,-0.02973155504889903,0.014573613668865004,-5.117750878746996e-05,0.009559958134751356
