seed,method,resample,sampling_seed,sampled_minus_total_variation,sampled_plus_total_variation,correction_energy,ess_penalty_unscaled,ess_penalty_scaled,total_objective,minimum_ess,median_ess,projection_distortion,maximum_moment_error,plan_level_correction_energy,plan_level_minimum_ess,plan_level_median_ess,plan_level_projection_distortion,plan_level_maximum_moment_error
401,geometric_sinkhorn,0,40100000,0.07280862557582393,0.08459534565046456,0.2298537072203261,0.00040089691720810643,0.006013453758121596,0.2358671609784477,0.13415677039785873,0.1840426693079399,0.6366472431029168,1.8410966031475738e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,1,40100001,0.08533422102096655,0.07619881595294056,0.18568819388129487,0.00023119446874542049,0.003467917031181307,0.18915611091247617,0.13022466807998487,0.18654569461979664,0.622235228717476,1.3597399555105182e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,2,40100002,0.06884397257851568,0.09650604149331765,0.23462657206326057,0.000733591007247685,0.011003865108715274,0.24563043717197586,0.09234896283039797,0.19942737096895174,0.6263313532996253,1.3597399555105182e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,3,40100003,0.06614098793973966,0.0772124025624011,0.27230161697230426,0.000418268558641877,0.006274028379628155,0.2785756453519324,0.11103209650055489,0.1849223373087518,0.6567120236224901,1.3597399555105182e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,4,40100004,0.07405552953173711,0.06660246449007973,0.24076258071753098,0.0009436055020197738,0.014154082530296607,0.2549166632478276,0.09631922515073249,0.19005383539500006,0.6660057301219187,0.00010248419917928135,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,5,40100005,0.08591654286274875,0.08466914220262606,0.2391591551623022,0.0007758749153256126,0.011638123729884188,0.2507972788921864,0.09421022565058913,0.1807473247023709,0.6037056042678868,2.0770370905276122e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,6,40100006,0.06906726636956527,0.08286065705234347,0.28347731056909664,0.0013955276354612192,0.020932914531918288,0.30441022510101495,0.10118454735356258,0.18509109022108605,0.6552252995229979,1.3597399555105182e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,7,40100007,0.08008603164817661,0.0834701430360679,0.20090101807470412,0.0005414766381859243,0.008122149572788864,0.20902316764749299,0.09572107121401836,0.22579263996020255,0.6101338250574864,1.1102230246251565e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,8,40100008,0.09252634071184036,0.08060639646465229,0.2898064629736362,0.0007228041961577353,0.01084206294236603,0.3006485259160022,0.12837348696801382,0.1612652315182188,0.6929216844432213,1.3597399555105182e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,9,40100009,0.07545560122963269,0.07616297120339569,0.3243871554336728,0.001609997092879838,0.024149956393197572,0.34853711182687036,0.0799213433538395,0.16127124286454309,0.7319950696895486,1.4342313747134974e-07,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,10,40100010,0.08151441602454697,0.08748258072458454,0.4068258820367002,0.0015109059342456933,0.022663589013685398,0.4294894710503856,0.06456406923770594,0.21181685593397453,0.6999350520222594,6.180425707167106e-14,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,11,40100011,0.0790780180962314,0.08520203747925617,0.3491966937792963,0.0011649927074180908,0.017474890611271363,0.3666715843905677,0.09014414116160303,0.20519058050675748,0.6859967119370488,1.7554167342883506e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,12,40100012,0.08132109097528167,0.08124010355600542,0.21870758258995052,0.0009376851616662745,0.014065277424994117,0.23277286001494463,0.1045124681593682,0.17696355211972942,0.5665797858096575,1.3597399555105182e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,13,40100013,0.0822953518661639,0.08820337873276442,0.1950125201490849,0.000469727847347587,0.007045917710213805,0.20205843785929872,0.10165129124638078,0.1933635583356247,0.5756132154674073,1.6653345369377348e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,14,40100014,0.09124733418638273,0.08183465915210592,0.2747467923648761,0.0004826679760301275,0.007240019640451912,0.281986812005328,0.11264283982636318,0.19291379493854213,0.621871844245487,1.3597399555105182e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,15,40100015,0.08543490036416457,0.06455389649215272,0.24931442670007,0.0011371087847066954,0.01705663177060043,0.26637105847067044,0.09689603927289864,0.16967591215726247,0.7084487371878866,1.6653345369377348e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,16,40100016,0.07378383464662516,0.0874171436273111,0.2290005015488048,0.00026052369443360505,0.003907855416504076,0.23290835696530887,0.12215720184057287,0.2526505522701757,0.618406342567023,1.2412670766236366e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
401,geometric_sinkhorn,17,40100017,0.0756900839552288,0.08113400883762628,0.18427352216143952,0.0007554414047948108,0.011331621071922161,0.19560514323336167,0.09020896961469847,0.17384405522494506,0.6585692474080735,1.3597399555105182e-16,0.24648512177371001,0.0599028292379622,0.1580798981602183,0.5812252435715723,1.3597399555105182e-16
