risk_allowance_percent,method,R_star,R_max,selection_R,selection_R_increase_percent,selection_budget_used_percent,selection_L,selection_tangent_action,selection_full_action,certified,sensor_coordinates,result
0.5,law,0.038387442011195885,0.03857937922125187,0.038387442011195885,0.0,0.0,0.03795784907614666,0.44776052467258703,3.4586342595308466,True,"[[1.0774891212832711, 0.3889629313939575], [0.4797984550873975, 0.76], [1.76, 0.24], [0.25733609301333177, 0.6029558273745433]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json
0.5,tangent,0.038387442011195885,0.03857937922125187,0.03855528783060068,0.437241479533439,87.44829590668779,0.03798620661747449,0.4408390660004122,3.8575656592271397,True,"[[1.0809403444241286, 0.40027255685467733], [0.47465923215383976, 0.76], [1.7538024439949058, 0.24], [0.26983904594909885, 0.58384322182209]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json
0.5,full,0.038387442011195885,0.03857937922125187,0.03852966325508828,0.37048898400398167,74.09779680079633,0.03798506129569788,0.44344232504904335,3.1764620477789234,True,"[[1.0607532777326243, 0.3779189889963649], [0.46109485085324287, 0.76], [1.76, 0.24], [0.24718765961784317, 0.6061867209567204]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json
1.0,law,0.038387442011195885,0.038771316431307844,0.038387442011195885,0.0,0.0,0.03795784907614665,0.44776052467258703,3.4586342596462942,True,"[[1.0774891212832711, 0.3889629313939575], [0.4797984550873975, 0.76], [1.76, 0.24], [0.25733609301333177, 0.6029558273745433]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json
1.0,tangent,0.038387442011195885,0.038771316431307844,0.03872705737586989,0.8847043378794482,88.47043378794483,0.0379557470371767,0.4307643098270803,3.5792494337168215,True,"[[1.0544485259659548, 0.39014881126645495], [0.4518302121299058, 0.7486302446169791], [1.76, 0.24], [0.26200407904762774, 0.5778474299245894]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json
1.0,full,0.038387442011195885,0.038771316431307844,0.03874016580149013,0.9188520302847278,91.88520302847277,0.0382121619611251,0.43746152639852537,2.8258184455511013,True,"[[1.0548735620183505, 0.40254903114931073], [0.47001144928369853, 0.76], [1.76, 0.24], [0.24, 0.6108855638010898]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json
2.0,law,0.038387442011195885,0.0391551908514198,0.038387442011195885,0.0,0.0,0.03795784907614667,0.44776052467258703,3.458634259424399,True,"[[1.0774891212832711, 0.3889629313939575], [0.4797984550873975, 0.76], [1.76, 0.24], [0.25733609301333177, 0.6029558273745433]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json
2.0,tangent,0.038387442011195885,0.0391551908514198,0.038727057375869886,0.8847043378794301,44.235216893971504,0.0379557470371767,0.4307643098270803,3.5792494335435596,True,"[[1.0544485259659548, 0.39014881126645495], [0.4518302121299058, 0.7486302446169791], [1.76, 0.24], [0.26200407904762774, 0.5778474299245894]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json
2.0,full,0.038387442011195885,0.0391551908514198,0.038740165801490145,0.9188520302847639,45.9426015142382,0.03821216196112509,0.43746152639852537,2.82581844556958,True,"[[1.0548735620183505, 0.40254903114931073], [0.47001144928369853, 0.76], [1.76, 0.24], [0.24, 0.6108855638010898]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json
3.0,law,0.038387442011195885,0.03953906527153176,0.038387442011195885,0.0,0.0,0.03795784907614666,0.44776052467258703,3.458634259156055,True,"[[1.0774891212832711, 0.3889629313939575], [0.4797984550873975, 0.76], [1.76, 0.24], [0.25733609301333177, 0.6029558273745433]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_3pct/result.json
3.0,tangent,0.038387442011195885,0.03953906527153176,0.03931446860621764,2.4149215119657614,80.49738373219205,0.03849985870386815,0.42399005334771367,3.0610068369359964,True,"[[1.0488917157440614, 0.3944521753965957], [0.44515886087761, 0.7450416698745275], [1.7418576620589548, 0.2563908326981148], [0.25387902215259944, 0.5815267215991959]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_3pct/result.json
3.0,full,0.038387442011195885,0.03953906527153176,0.03874016580149014,0.9188520302847459,30.62840100949153,0.038212161961125105,0.43746152639852537,2.82581844562184,True,"[[1.0548735620183505, 0.40254903114931073], [0.47001144928369853, 0.76], [1.76, 0.24], [0.24, 0.6108855638010898]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_3pct/result.json
4.0,law,0.03838744201119589,0.039922939691643726,0.03838744201119589,0.0,0.0,0.03795784907614665,0.44776052467258703,3.4586342593452666,True,"[[1.0774891212832711, 0.3889629313939575], [0.4797984550873975, 0.76], [1.76, 0.24], [0.25733609301333177, 0.6029558273745433]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_4pct/result.json
4.0,tangent,0.03838744201119589,0.039922939691643726,0.03978916800601714,3.651522272342151,91.28805680855378,0.03949670223817997,0.3883788541103186,2.4719826354658365,True,"[[1.0703925060089838, 0.4266160461667172], [0.4901763127553475, 0.7000516441555005], [1.76, 0.24], [0.26351027100214314, 0.6292980166002612]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_4pct/result.json
4.0,full,0.03838744201119589,0.039922939691643726,0.03978916800601714,3.651522272342151,91.28805680855378,0.03949670223817997,0.38837885411031864,2.471982635242052,True,"[[1.0703925060089838, 0.4266160461667172], [0.4901763127553475, 0.7000516441555005], [1.76, 0.24], [0.26351027100214314, 0.6292980166002612]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_4pct/result.json
5.0,law,0.03838744201119764,0.04030681411175752,0.03838744201119764,0.0,0.0,0.03795784907614667,0.44776052467258703,3.458634259820657,True,"[[1.0774891212832711, 0.3889629313939575], [0.4797984550873975, 0.76], [1.76, 0.24], [0.25733609301333177, 0.6029558273745433]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_5pct/result.json
5.0,tangent,0.03838744201119764,0.04030681411175752,0.040072176384013725,4.388764357689282,87.77528715378564,0.03982128305624056,0.3877498844226451,2.4403059179989337,True,"[[1.0521353045648674, 0.41789719820759397], [0.504910855829425, 0.7256223998877226], [1.7491471711216546, 0.24688306100944887], [0.24561667128290865, 0.6524862784344475]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_5pct/result.json
5.0,full,0.03838744201119764,0.04030681411175752,0.04013068844728815,4.541189370164341,90.82378740328681,0.039833255541183034,0.3878727660592249,2.430165340188697,True,"[[1.0508550247862802, 0.4195851904242393], [0.501960523124545, 0.7277822646594354], [1.7450098140688726, 0.24553303239308777], [0.2450780048696484, 0.6527685095270992]]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_5pct/result.json
