allowance_percent,method,A_full_h,A_tan_h,A_hid_h,hidden_fraction_A_hid_over_A_full,aggregate_full_moment_residual_norm,aggregate_tangent_moment_residual_norm,aggregate_hidden_nullspace_residual_norm,aggregate_orthogonality_residual,aggregate_pythagorean_residual,aggregate_hierarchy_raw_violation,maximum_full_moment_residual,maximum_tangent_moment_residual,maximum_hidden_nullspace_residual,maximum_absolute_orthogonality_residual,maximum_absolute_pythagorean_residual,maximum_raw_hierarchy_violation,maximum_full_action_reproduction_error,maximum_full_moment_residual_after_stabilization,aggregate_violation_count,trial_violation_count,time_trial_violation_count,trial_count,invalid_trial_count,time_trial_count,minimum_gram_rank,first_failing_condition,tolerance,passes,geometry,result_path,evaluation_key
0.5,law,3.458634259016954,0.4458901836346436,3.0145473968202467,0.8716005136886229,0.0005103190907104671,2.2718631021159358e-17,0.0005103190907104759,-0.000901660718968092,-0.001803321437936195,-3.012744075382311,0.01632649539885211,9.684004115991748e-15,0.01632649539885601,0.015358436313370027,0.030716872626747715,-0.17296711382215268,0.0,2.0884241888853182e-08,1,24,504,24,0,504,4,full_moment,1e-06,False,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]"
0.5,tangent,3.857565659079924,0.4389376607382555,3.4203702818554707,0.8866654735492617,0.00047852250227623346,3.395875942647414e-17,0.00047852250227625845,-0.0008711417569007698,-0.0017422835138015062,-3.4186279983416696,0.0075207808509176795,7.29597740531005e-15,0.007520780850923213,0.018431068384832362,0.03686213676965622,-0.1740737091454134,0.0,3.3280101721168305e-08,1,24,504,24,0,504,4,full_moment,1e-06,False,"[1.0809403444241286,0.40027255685467733,0.47465923215383976,0.76,1.7538024439949058,0.24,0.26983904594909885,0.58384322182209]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.0809403444241286,0.40027255685467733,0.47465923215383976,0.76,1.7538024439949058,0.24,0.26983904594909885,0.58384322182209]"
0.5,full,3.1764620475638465,0.4413106635086929,2.7369108621861655,0.8616224029137102,0.0004995604405764436,4.8351642959525085e-17,0.0004995604405764265,-0.0008797390655058182,-0.001759478131011645,-2.735151384055154,0.00674327490000736,1.2161820545666023e-14,0.0067432749000107435,0.013534304937683938,0.027068609875378513,-0.18402031434353164,0.0,2.367118847989665e-08,1,24,504,24,0,504,4,full_moment,1e-06,False,"[1.0607532777326243,0.3779189889963649,0.46109485085324287,0.76,1.76,0.24,0.24718765961784317,0.6061867209567204]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.0607532777326243,0.3779189889963649,0.46109485085324287,0.76,1.76,0.24,0.24718765961784317,0.6061867209567204]"
1.0,law,3.458634259016954,0.4458901836346436,3.0145473968202467,0.8716005136886229,0.0005103190907104671,2.2718631021159358e-17,0.0005103190907104759,-0.000901660718968092,-0.001803321437936195,-3.012744075382311,0.01632649539885211,9.684004115991748e-15,0.01632649539885601,0.015358436313370027,0.030716872626747715,-0.17296711382215268,0.0,2.0884241888853182e-08,1,24,504,24,0,504,4,full_moment,1e-06,False,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]"
1.0,tangent,3.5792494336253085,0.42901444217990187,3.1519571253037846,0.8806195778625204,0.000450214465098909,1.1543394003920184e-16,0.000450214465098844,-0.0008610669291888043,-0.0017221338583776312,-3.1502349914454064,0.007101461559132594,2.4542756896052898e-14,0.007101461559132798,0.019922234669051544,0.03984446933810659,-0.1548432874003921,0.0,2.7555496532547855e-08,1,24,504,24,0,504,4,full_moment,1e-06,False,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]"
1.0,full,2.8258184454494972,0.4357734106473629,2.391689577659901,0.8463705732798626,0.0004435988076135576,3.104265570479852e-17,0.0004435988076135408,-0.0008222714288835613,-0.0016445428577671374,-2.3900450348021343,0.004708185764596843,1.267901307113462e-14,0.00470818576459684,0.011369216937206012,0.022738433874412323,-0.17568387715803052,0.0,2.0034592950079342e-08,1,24,504,24,0,504,4,full_moment,1e-06,False,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]"
2.0,law,3.458634259016954,0.4458901836346436,3.0145473968202467,0.8716005136886229,0.0005103190907104671,2.2718631021159358e-17,0.0005103190907104759,-0.000901660718968092,-0.001803321437936195,-3.012744075382311,0.01632649539885211,9.684004115991748e-15,0.01632649539885601,0.015358436313370027,0.030716872626747715,-0.17296711382215268,0.0,2.0884241888853182e-08,1,24,504,24,0,504,4,full_moment,1e-06,False,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]"
2.0,tangent,3.5792494336253085,0.42901444217990187,3.1519571253037846,0.8806195778625204,0.000450214465098909,1.1543394003920184e-16,0.000450214465098844,-0.0008610669291888043,-0.0017221338583776312,-3.1502349914454064,0.007101461559132594,2.4542756896052898e-14,0.007101461559132798,0.019922234669051544,0.03984446933810659,-0.1548432874003921,0.0,2.7555496532547855e-08,1,24,504,24,0,504,4,full_moment,1e-06,False,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]"
2.0,full,2.8258184454494972,0.4357734106473629,2.391689577659901,0.8463705732798626,0.0004435988076135576,3.104265570479852e-17,0.0004435988076135408,-0.0008222714288835613,-0.0016445428577671374,-2.3900450348021343,0.004708185764596843,1.267901307113462e-14,0.00470818576459684,0.011369216937206012,0.022738433874412323,-0.17568387715803052,0.0,2.0034592950079342e-08,1,24,504,24,0,504,4,full_moment,1e-06,False,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]"
3.0,law,3.458634259016954,0.4458901836346436,3.0145473968202467,0.8716005136886229,0.0005103190907104671,2.2718631021159358e-17,0.0005103190907104759,-0.000901660718968092,-0.001803321437936195,-3.012744075382311,0.01632649539885211,9.684004115991748e-15,0.01632649539885601,0.015358436313370027,0.030716872626747715,-0.17296711382215268,0.0,2.0884241888853182e-08,1,24,504,24,0,504,4,full_moment,1e-06,False,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_3pct/result.json,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]"
