allowance_percent,method,A_tan,A_full,A_hid,Gamma,hierarchy_tolerance,aggregate_raw_violation_A_tan_minus_A_full,aggregate_violation_count,trial_count,invalid_trial_count,trial_max_raw_violation,trial_violation_count,time_trial_comparison_count,time_trial_max_raw_violation,time_trial_violation_count,maximum_raw_violation_all_levels,reported_A_tan,reported_A_full,audit_minus_reported_A_tan,audit_minus_reported_A_full,all_hierarchy_checks_pass,geometry,result_path,evaluation_key
0.5,law,0.44776052467307687,3.4586342590290364,3.0108737343559597,0.870538342264967,1e-06,-3.0108737343559597,0,24,0,-2.414733154805645,0,504,-0.1726851741063663,0,-0.1726851741063663,0.44776052467258703,3.4586342595308466,4.898303984646191e-13,-5.018101489895344e-10,True,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]"
0.5,tangent,0.4408390660003721,3.8575656591137126,3.4167265931133404,0.8857209170351086,1e-06,-3.4167265931133404,0,24,0,-2.751704437598885,0,504,-0.1738285952266916,0,-0.1738285952266916,0.4408390660004122,3.8575656592271397,-4.013456234019941e-14,-1.1342704553385374e-10,True,"[1.0809403444241286,0.40027255685467733,0.47465923215383976,0.76,1.7538024439949058,0.24,0.26983904594909885,0.58384322182209]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.0809403444241286,0.40027255685467733,0.47465923215383976,0.76,1.7538024439949058,0.24,0.26983904594909885,0.58384322182209]"
0.5,full,0.44344232505473963,3.1764620475677963,2.7330197225130566,0.8603974112033602,1e-06,-2.7330197225130566,0,24,0,-2.2660022606566668,0,504,-0.1836542052476885,0,-0.1836542052476885,0.44344232504904335,3.1764620477789234,5.696276783595522e-12,-2.1112711579007737e-10,True,"[1.0607532777326243,0.3779189889963649,0.46109485085324287,0.76,1.76,0.24,0.24718765961784317,0.6061867209567204]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.0607532777326243,0.3779189889963649,0.46109485085324287,0.76,1.76,0.24,0.24718765961784317,0.6061867209567204]"
1.0,law,0.44776052467307687,3.4586342590290364,3.0108737343559597,0.870538342264967,1e-06,-3.0108737343559597,0,24,0,-2.414733154805645,0,504,-0.1726851741063663,0,-0.1726851741063663,0.44776052467258703,3.4586342596462942,4.898303984646191e-13,-6.172578004282059e-10,True,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]"
1.0,tangent,0.4307643098270788,3.5792494336405625,3.148485123813484,0.8796495416669143,1e-06,-3.148485123813484,0,24,0,-2.599788838590593,0,504,-0.15443320626758555,0,-0.15443320626758555,0.4307643098270803,3.5792494337168215,-1.4988010832439613e-15,-7.625899911545275e-11,True,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]"
1.0,full,0.43746152640435176,2.8258184454744346,2.388356919070083,0.8451912127953765,1e-06,-2.388356919070083,0,24,0,-2.1124851052769387,0,504,-0.17526752460148945,0,-0.17526752460148945,0.43746152639852537,2.8258184455511013,5.82639492208159e-12,-7.666667301009511e-11,True,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]"
2.0,law,0.44776052467307687,3.4586342590290364,3.0108737343559597,0.870538342264967,1e-06,-3.0108737343559597,0,24,0,-2.414733154805645,0,504,-0.1726851741063663,0,-0.1726851741063663,0.44776052467258703,3.458634259424399,4.898303984646191e-13,-3.953624094776842e-10,True,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]"
2.0,tangent,0.4307643098270788,3.5792494336405625,3.148485123813484,0.8796495416669143,1e-06,-3.148485123813484,0,24,0,-2.599788838590593,0,504,-0.15443320626758555,0,-0.15443320626758555,0.4307643098270803,3.5792494335435596,-1.4988010832439613e-15,9.700285019675903e-11,True,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]"
2.0,full,0.43746152640435176,2.8258184454744346,2.388356919070083,0.8451912127953765,1e-06,-2.388356919070083,0,24,0,-2.1124851052769387,0,504,-0.17526752460148945,0,-0.17526752460148945,0.43746152639852537,2.82581844556958,5.82639492208159e-12,-9.514522503195622e-11,True,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]"
3.0,law,0.44776052467307687,3.4586342590290364,3.0108737343559597,0.870538342264967,1e-06,-3.0108737343559597,0,24,0,-2.414733154805645,0,504,-0.1726851741063663,0,-0.1726851741063663,0.44776052467258703,3.458634259156055,4.898303984646191e-13,-1.270183958013149e-10,True,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_3pct/result.json,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]"
