allowance_percent,old_full_geometry,corrected_full_geometry,old_selection_A_full,corrected_selection_A_full,selection_action_delta,old_validation_A_full,corrected_validation_A_full,validation_action_delta,old_Full_vs_Law_reduction,corrected_Full_vs_Law_reduction,selected_candidate_changed,candidate_ranking_changed,old_Tangent_vs_Full_conclusion,corrected_Tangent_vs_Full_conclusion
0.5,"[1.0607532777326243,0.3779189889963649,0.46109485085324287,0.76,1.76,0.24,0.24718765961784317,0.6061867209567204]","[1.072627025330538,0.39629276988018886,0.4862417499456417,0.76,1.76,0.24,0.27193975368651135,0.6185063530148714]",3.1764620477789234,7.343264074689654,4.16680202691073,3.09412595878792,7.367562473605087,4.273436514817167,0.07992809051519298,0.6497842374847894,True,True,Full lower,Equal
1.0,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]","[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]",2.8258184455511013,6.688759712348662,3.8629412667975607,2.8286570194986496,8.589732423370686,5.761075403872036,0.15886815861261494,0.5916886079906862,False,False,Full lower,Tangent lower
2.0,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]","[1.083266484208336,0.4335724691450472,0.5072910999384581,0.7496981260966648,1.76,0.24,0.28086653584287785,0.639628829394016]",2.82581844556958,6.510045282622424,3.684226837052844,2.828657019499636,6.2734954020481,3.4448383825484643,0.15886815861116158,0.701790529657567,True,True,Full lower,Full lower
3.0,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]","[1.083266484208336,0.4335724691450472,0.5072910999384581,0.7496981260966648,1.76,0.24,0.28086653584287785,0.639628829394016]",2.82581844562184,6.510045282622424,3.684226837000584,2.8286570195865868,6.2734950325733925,3.4448380129868057,0.15886815858422934,0.7017905229731647,True,True,Full lower,Full lower
4.0,"[1.0703925060089838,0.4266160461667172,0.4901763127553475,0.7000516441555005,1.76,0.24,0.26351027100214314,0.6292980166002612]","[1.06370935080401,0.4550192034057061,0.49853661140128447,0.7420342952622412,1.7597617944632438,0.24,0.2497059564587267,0.6463819589743185]",2.471982635242052,5.748588138750804,3.2766055035087525,2.465025717098007,6.274276050176118,3.809250333078111,0.26699786994201324,0.701753406041045,True,True,Equal,Tangent lower
5.0,"[1.0508550247862802,0.4195851904242393,0.501960523124545,0.7277822646594354,1.7450098140688726,0.24553303239308777,0.2450780048696484,0.6527685095270992]","[1.0521353045648674,0.41789719820759397,0.504910855829425,0.7256223998877226,1.7491471711216546,0.24688306100944887,0.24561667128290865,0.6524862784344475]",2.430165340188697,5.730632961490273,3.3004676213015762,2.4905455019182403,6.28851305312585,3.79796755120761,0.25940928516297873,0.7010766549818729,True,True,Tangent lower,Equal
