allowance_percent,method,A_tan,A_full,direct_A_hid,direct_A_tan_field,direct_A_full_field,aggregate_decomposition_residual,aggregate_orthogonality_residual,maximum_absolute_decomposition_residual,maximum_relative_decomposition_residual,maximum_absolute_orthogonality_residual,maximum_relative_orthogonality_residual,maximum_absolute_discrete_polarization_residual,trial_count,invalid_trial_count,time_trial_count,tolerance,passes,geometry,result_path,evaluation_key
0.5,law,0.44776052467258703,3.458634259022979,3.014637173135821,0.4496835075790044,3.458634259022979,-0.003763438785428619,-0.0028432108459229073,0.20218545417262135,0.007296119726713628,0.29694184422497816,0.010256628220760376,6.8833827526759706e-15,24,0,504,1e-06,False,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]"
0.5,tangent,0.44083906600041217,3.8575656591262146,3.4204461891107045,0.44257158780294104,3.8575656591262146,-0.0037195959849021243,-0.002726058893715203,0.11817468006810117,0.008447713134762022,0.17365283752722438,0.008798991667570533,1.917910275039958e-14,24,0,504,1e-06,False,"[1.0809403444241286,0.40027255685467733,0.47465923215383976,0.76,1.7538024439949058,0.24,0.26983904594909885,0.58384322182209]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.0809403444241286,0.40027255685467733,0.47465923215383976,0.76,1.7538024439949058,0.24,0.26983904594909885,0.58384322182209]"
0.5,full,0.44344232504904335,3.176462047529153,2.7370099786541817,0.4450283290656412,3.176462047529153,-0.003990256174072115,-0.002788130095334877,0.21471309778855385,0.012076502123373476,0.21113873802481392,0.00893398339930228,7.91033905045424e-15,24,0,504,1e-06,False,"[1.0607532777326243,0.3779189889963649,0.46109485085324287,0.76,1.76,0.24,0.24718765961784317,0.6061867209567204]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.0607532777326243,0.3779189889963649,0.46109485085324287,0.76,1.76,0.24,0.24718765961784317,0.6061867209567204]"
1.0,law,0.44776052467258703,3.458634259022979,3.014637173135821,0.4496835075790044,3.458634259022979,-0.003763438785428619,-0.0028432108459229073,0.20218545417262135,0.007296119726713628,0.29694184422497816,0.010256628220760376,6.8833827526759706e-15,24,0,504,1e-06,False,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]"
1.0,tangent,0.4307643098270803,3.5792494336123077,3.1519985898629064,0.43179079000483184,3.5792494336123077,-0.003513466077678995,-0.0022699731277153676,0.05463510878801969,0.008945272228770507,0.04909625562925479,0.006755264968466284,1.3641865415081611e-14,24,0,504,1e-06,False,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]"
1.0,full,0.43746152639852537,2.8258184454308104,2.391740488274782,0.43858030829273686,2.8258184454308104,-0.003383569242497053,-0.0022511755683541673,0.059718832003961,0.011624832355256019,0.0567340891017771,0.009681254574097159,4.451300439356487e-15,24,0,504,1e-06,False,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]"
2.0,law,0.44776052467258703,3.458634259022979,3.014637173135821,0.4496835075790044,3.458634259022979,-0.003763438785428619,-0.0028432108459229073,0.20218545417262135,0.007296119726713628,0.29694184422497816,0.010256628220760376,6.8833827526759706e-15,24,0,504,1e-06,False,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]"
2.0,tangent,0.4307643098270803,3.5792494336123077,3.1519985898629064,0.43179079000483184,3.5792494336123077,-0.003513466077678995,-0.0022699731277153676,0.05463510878801969,0.008945272228770507,0.04909625562925479,0.006755264968466284,1.3641865415081611e-14,24,0,504,1e-06,False,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]"
2.0,full,0.43746152639852537,2.8258184454308104,2.391740488274782,0.43858030829273686,2.8258184454308104,-0.003383569242497053,-0.0022511755683541673,0.059718832003961,0.011624832355256019,0.0567340891017771,0.009681254574097159,4.451300439356487e-15,24,0,504,1e-06,False,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]"
3.0,law,0.44776052467258703,3.458634259022979,3.014637173135821,0.4496835075790044,3.458634259022979,-0.003763438785428619,-0.0028432108459229073,0.20218545417262135,0.007296119726713628,0.29694184422497816,0.010256628220760376,6.8833827526759706e-15,24,0,504,1e-06,False,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_3pct/result.json,"[1.0774891212832711,0.3889629313939575,0.4797984550873975,0.76,1.76,0.24,0.25733609301333177,0.6029558273745433]"
