allowance_percent,full_geometry,full_centers,L_selection,R_selection,R_star,R_max,risk_increase_percent,selection_A_full_h,validation_A_full_h_mean,validation_A_full_h_se,Full_vs_Law_validation_reduction,selection_A_tan_h,selection_A_hid_h,selection_Gamma_h,validation_A_tan_h,validation_A_hid_h,validation_Gamma_h,selection_decomposition_passes,validation_decomposition_passes,law_validation_decomposition_passes,full_certified
0.5,"[1.072627025330538,0.39629276988018886,0.4862417499456417,0.76,1.76,0.24,0.27193975368651135,0.6185063530148714]","[[1.072627025330538,0.39629276988018886],[0.4862417499456417,0.76],[1.76,0.24],[0.27193975368651135,0.6185063530148714]]",0.038056816060471566,0.03852109091662176,0.03838744201119958,0.03857937922125557,0.3481578829430457,7.343264074689654,7.367562473605087,0.3700328979419316,0.6497842374847894,0.4307443597413112,6.912519902555558,0.9413415690413055,0.4397803283876427,6.927782189101909,0.9403085718860671,True,True,True,True
1.0,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]","[[1.0548735620183505,0.40254903114931073],[0.47001144928369853,0.76],[1.76,0.24],[0.24,0.6108855638010898]]",0.038212161961125105,0.03874016580149014,0.038387442011195885,0.038771316431307844,0.9188520302847459,6.688759712348662,8.589732423370686,1.7448299065916169,0.5916886079906862,0.43577341065310266,6.252986155261581,0.9348498916191067,0.438667763352648,8.15106494510457,0.9489311509168663,True,True,True,True
2.0,"[1.083266484208336,0.4335724691450472,0.5072910999384581,0.7496981260966648,1.76,0.24,0.28086653584287785,0.639628829394016]","[[1.083266484208336,0.4335724691450472],[0.5072910999384581,0.7496981260966648],[1.76,0.24],[0.28086653584287785,0.639628829394016]]",0.038784769715911,0.03905874481217378,0.038387442011195885,0.0391551908514198,1.7487562749872863,6.510045282622424,6.2734954020481,0.4600626131241092,0.701790529657567,0.43047080050621894,6.079574533710104,0.9338759135449058,0.41723254305857593,5.85626286249229,0.933492811250102,True,True,True,True
3.0,"[1.083266484208336,0.4335724691450472,0.5072910999384581,0.7496981260966648,1.76,0.24,0.28086653584287785,0.639628829394016]","[[1.083266484208336,0.4335724691450472],[0.5072910999384581,0.7496981260966648],[1.76,0.24],[0.28086653584287785,0.639628829394016]]",0.038784769715910994,0.03905874481217378,0.03838744201119765,0.03953906527153358,1.7487562749826147,6.510045282622424,6.2734950325733925,0.46006230304930296,0.7017905229731647,0.43047080050621894,6.079574533710104,0.9338759135449058,0.41723254305857593,5.85626286249229,0.933492811250102,True,True,True,True
4.0,"[1.06370935080401,0.4550192034057061,0.49853661140128447,0.7420342952622412,1.7597617944632438,0.24,0.2497059564587267,0.6463819589743185]","[[1.06370935080401,0.4550192034057061],[0.49853661140128447,0.7420342952622412],[1.7597617944632438,0.24],[0.2497059564587267,0.6463819589743185]]",0.039504166435860195,0.039756849678408174,0.038387442011195885,0.03992293969164372,3.567332428175063,5.748588138750804,6.274276050176118,0.9014333250444037,0.701753406041045,0.41700854896842765,5.331580092135796,0.9274589686263696,0.4091529170418974,5.865122880896811,0.934788821814891,True,True,True,True
5.0,"[1.0521353045648674,0.41789719820759397,0.504910855829425,0.7256223998877226,1.7491471711216546,0.24688306100944887,0.24561667128290865,0.6524862784344475]","[[1.0521353045648674,0.41789719820759397],[0.504910855829425,0.7256223998877226],[1.7491471711216546,0.24688306100944887],[0.24561667128290865,0.6524862784344475]]",0.03982128305624056,0.04007217638401371,0.03838744201119765,0.04030681411175753,4.388764357689227,5.730632961490273,6.28851305312585,0.6796153746408962,0.7010766549818729,0.3869644431402495,5.343668463001965,0.9324743968985525,0.38988785880622256,5.898625170102128,0.9379999918877661,True,True,True,True
