epsilon_r,R_star,R_max,full_R_selection,full_R_excess_selection,full_A_selection,law_A_selection,full_certified,anchor_refinement_passes,law_R_validation,law_R_validation_se,law_A_validation,law_A_validation_se,law_valid_fraction,full_R_validation,full_R_validation_se,full_A_validation,full_A_validation_se,full_valid_fraction,validation_action_reduction,full_centers,result
0.0005,0.04114964634741669,0.04164964634741669,0.0413575913422275,0.0002079449948108117,4.779380774057825,5.550561742049812,True,0,0.04090991229070911,9.043481649565385e-05,5.316723121288878,0.25699090900301463,0.9375,0.041090015634823465,8.196079895508655e-05,4.571927160214321,0.12345326033899444,0.953125,0.14429810884984617,"[[0.6382148484039356, 0.24], [1.1053483449574635, 0.4735107860808838], [0.24, 0.6000332066689015], [1.76, 0.76]]",/home/zanot/projects/tesseract2026/experiments/vortices/outputs/pareto/epsR_0p0005000/result.json
0.001,0.04114964634741669,0.04214964634741669,0.0413575913422275,0.0002079449948108117,4.779380774001369,5.550561742001562,True,0,0.0409099122907091,9.043481649565408e-05,5.3167231212949275,0.25699090900194155,0.9375,0.041090015634823465,8.196079895508659e-05,4.571927160200567,0.12345326033756952,0.953125,0.1442981088541465,"[[0.6382148484039356, 0.24], [1.1053483449574635, 0.4735107860808838], [0.24, 0.6000332066689015], [1.76, 0.76]]",/home/zanot/projects/tesseract2026/experiments/vortices/outputs/pareto/epsR_0p0010000/result.json
0.002,0.04114964634741669,0.04314964634741669,0.04200979557604964,0.0008601492286329504,4.2633912020827625,5.550561742339236,True,0,0.04090991229070911,9.043481649565388e-05,5.316723121273097,0.2569909090003543,0.9375,0.04171947814137544,8.135240871744582e-05,4.11594666443425,0.08374968613515833,0.953125,0.2283080189732889,"[[0.6297503140056219, 0.25705920141527355], [1.1038049619648662, 0.4506330206926598], [0.24, 0.5481029057021714], [1.7464894128340238, 0.7599859834878154]]",/home/zanot/projects/tesseract2026/experiments/vortices/outputs/pareto/epsR_0p0020000/result.json
0.004,0.04114964634741669,0.045149646347416694,0.04510164895595324,0.003952002608536551,1.9034973015887147,5.55056174171305,True,0,0.04090991229070911,9.043481649565383e-05,5.316723121276185,0.25699090900006427,0.9375,0.044927303187917406,5.729372466823224e-05,1.9048509640119424,0.02725669677612078,0.984375,0.6452931409222242,"[[0.528983731746604, 0.3564918731226783], [1.03587580560999, 0.4552358513312164], [0.24, 0.4898168712860564], [1.6900950021139522, 0.76]]",/home/zanot/projects/tesseract2026/experiments/vortices/outputs/pareto/epsR_0p0040000/result.json
