design,eta,centers,population_loss_selection,finite_risk_selection,tangent_action_selection,full_action_selection,validation_law_mean,validation_full_action_mean,validation_valid_fraction
population,"[1.0677735876295482, 0.38884976507809954, 0.44663968502596, 0.76, 1.76, 0.24, 0.25441635922828065, 0.5769221025462452]","[[1.0677735876295482, 0.38884976507809954], [0.44663968502596, 0.76], [1.76, 0.24], [0.25441635922828065, 0.5769221025462452]]",0.03773928370170817,0.03840239162456259,0.4551760458616744,3.9600073458807024,0.038425583326013146,3.8171099836424633,1.0
law,"[1.0774891212832711, 0.3889629313939575, 0.4797984550873975, 0.76, 1.76, 0.24, 0.25733609301333177, 0.6029558273745433]","[[1.0774891212832711, 0.3889629313939575], [0.4797984550873975, 0.76], [1.76, 0.24], [0.25733609301333177, 0.6029558273745433]]",0.03795784907614667,0.03838744201119764,0.44776052467258703,3.458634259820657,0.038378376916791544,3.3629175359919605,1.0
tangent,"[1.0521353045648674, 0.41789719820759397, 0.504910855829425, 0.7256223998877226, 1.7491471711216546, 0.24688306100944887, 0.24561667128290865, 0.6524862784344475]","[[1.0521353045648674, 0.41789719820759397], [0.504910855829425, 0.7256223998877226], [1.7491471711216546, 0.24688306100944887], [0.24561667128290865, 0.6524862784344475]]",0.03982128305624056,0.040072176384013725,0.3877498844226451,2.4403059179989337,0.040011841388248565,2.4720819096489324,1.0
full,"[1.0508550247862802, 0.4195851904242393, 0.501960523124545, 0.7277822646594354, 1.7450098140688726, 0.24553303239308777, 0.2450780048696484, 0.6527685095270992]","[[1.0508550247862802, 0.4195851904242393], [0.501960523124545, 0.7277822646594354], [1.7450098140688726, 0.24553303239308777], [0.2450780048696484, 0.6527685095270992]]",0.039833255541183034,0.04013068844728815,0.3878727660592249,2.430165340188697,0.0400723341405602,2.4905455019182403,1.0
