seed,method,construction_objective,integrated_correction_energy,integrated_forcing_power,minimum_ess,maximum_calibration_residual,endpoint_equivalence_residual
401,hand,1.0363891056046173,0.3347498012189303,34.07433243845734,0.09631606674553483,1.5700924586837752e-16,1.8573480892262722e-18
401,designed,0.42719821581305256,0.18342587500112145,12.188617040596553,0.49933712550859466,7.97218214573518e-17,1.7917676167514402e-18
402,hand,0.30845049501925187,0.09209839788539137,10.817604856693025,0.26989304250547497,1.3597399555105182e-16,7.136321204631058e-19
402,designed,0.23564639918469887,0.07288358993317523,8.138140462576182,0.36791350040096216,1.2432050435751766e-16,4.583004027385811e-19
403,hand,0.3496979524077314,0.11208883174756216,11.880456033008462,0.18640910992350004,1.6653345369377348e-16,8.049972219793768e-18
403,designed,0.3520237133423984,0.130377283994227,11.082321467408565,0.22842694934357483,1.1188630228279524e-16,5.466559288054081e-18
404,hand,0.76256546422555,0.301131990593956,23.035105734715557,0.1610441996447164,9.614813431917819e-17,9.216154983268175e-19
404,designed,0.3716116649932427,0.11679476180735887,12.740845159294194,0.18293471529099722,1.1210126175528405e-16,8.638091665078193e-19
405,hand,0.746994593394993,0.2739610548240792,23.343063355249136,0.10641825487439864,1.1102230246251565e-16,2.3227994717068954e-18
405,designed,0.2314484873636386,0.10140501843289035,6.502173446537412,0.5356012410913525,1.1527756336890508e-16,2.704376571451395e-18
