candidate_rank,pair_id,observation_dimension,t,target_hull_feasible,target_hull_lp_residual,calibration_converged,maximum_standardized_residual,ess_fraction,maximum_weight
1,v6_F0280_k06025__v6_F0280_k05800,2,0.1,True,2.220446049250313e-16,True,5.1781690046937e-11,0.006077786686379052,0.11114811548646726
1,v6_F0280_k06025__v6_F0280_k05800,2,0.2,False,,False,,,
1,v6_F0280_k06025__v6_F0280_k05800,2,0.30000000000000004,False,,False,,,
1,v6_F0280_k06025__v6_F0280_k05800,2,0.4,False,,False,,,
1,v6_F0280_k06025__v6_F0280_k05800,2,0.5,False,,False,,,
1,v6_F0280_k06025__v6_F0280_k05800,2,0.6,False,,False,,,
1,v6_F0280_k06025__v6_F0280_k05800,2,0.7000000000000001,True,2.220446049250313e-16,True,6.217248937900877e-15,0.0035014946858996517,0.3455238972709976
1,v6_F0280_k06025__v6_F0280_k05800,2,0.8,True,0.0,True,8.881784197001252e-16,0.017874795901034156,0.06507223976702
1,v6_F0280_k06025__v6_F0280_k05800,2,0.9,True,2.220446049250313e-16,True,1.9984014443252818e-15,0.10876431731398455,0.028890774961371612
2,v6_F0300_k06100__v6_F0280_k05800,2,0.1,False,,False,,,
2,v6_F0300_k06100__v6_F0280_k05800,2,0.2,False,,False,,,
2,v6_F0300_k06100__v6_F0280_k05800,2,0.30000000000000004,False,,False,,,
2,v6_F0300_k06100__v6_F0280_k05800,2,0.4,False,,False,,,
2,v6_F0300_k06100__v6_F0280_k05800,2,0.5,False,,False,,,
2,v6_F0300_k06100__v6_F0280_k05800,2,0.6,False,,False,,,
2,v6_F0300_k06100__v6_F0280_k05800,2,0.7000000000000001,True,0.0,True,5.108424794286748e-11,0.011787838288070906,0.10535816418564321
2,v6_F0300_k06100__v6_F0280_k05800,2,0.8,True,0.0,True,4.440892098500626e-16,0.08054004301949864,0.024637765235496614
2,v6_F0300_k06100__v6_F0280_k05800,2,0.9,True,1.1102230246251565e-16,True,2.4391821895619614e-11,0.44479928642122923,0.0037232154101338195
3,v6_F0300_k06075__v6_F0280_k05800,2,0.1,False,,False,,,
