observation_dimension,lp_feasible,lp_maximum_equality_residual,lp_status,central_lp_success,central_maximum_minimum_weight,central_minimum_weight_uniform_fraction,entropy_central_converged,entropy_equality_residual,target_source,target_standardized,target_physical,standardization_affine_roundtrip_error,minus_calibration_converged,plus_calibration_converged,maximum_standardized_calibration_residual,minimum_ess_fraction,hidden_morphology_effect,maximum_lambda_norm,pair_id,minus_regime,plus_regime
4,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,grid_F0340_k0620__grid_F0340_k0605,grid_F0340_k0620,grid_F0340_k0605
4,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,grid_F0320_k0615__grid_F0320_k0600,grid_F0320_k0615,grid_F0320_k0600
4,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,grid_F0280_k0605__grid_F0280_k0580,grid_F0280_k0605,grid_F0280_k0580
4,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,grid_F0280_k0600__grid_F0280_k0580,grid_F0280_k0600,grid_F0280_k0580
4,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,grid_F0300_k0610__grid_F0320_k0600,grid_F0300_k0610,grid_F0320_k0600
4,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,grid_F0280_k0600__grid_F0300_k0590,grid_F0280_k0600,grid_F0300_k0590
