theta1_deg,theta2_deg,proxy_action,prescreen_action,full_action,action_valid,screened_candidate_count,exact_law_audited_count,exact_law_valid_count,exact_finalist_count
19.95786851664187,65.96574300427103,529.1323599637967,256.5782257014451,252.66363466840625,True,49,30,30,12
21.218481145575826,68.84605992792198,563.1540085969222,267.3922078393785,245.94338245499486,True,49,30,30,12
19.953234415231826,63.90692472722821,557.6017607980995,270.63489107749854,274.16537158748326,True,49,30,30,12
20.52519918149167,65.40680427365315,564.8941746927795,271.9448854331741,266.53684282977304,True,49,30,30,12
20.427229957724084,64.05207888889062,576.0178411866256,278.25717854135655,278.5005620920294,True,49,30,30,12
21.49156060907458,67.74941512734803,594.1192215468307,281.0221211570856,261.05621758025745,True,49,30,30,12
22.132748797989056,68.46044628342094,630.6667853345419,294.92400354454514,267.81701281612334,True,49,30,30,12
22.26475313964293,68.32747183257705,641.1569543986769,299.3120168232849,271.6425260801932,True,49,30,30,12
22.31928145290816,67.7529614827532,649.2824790435157,303.34562882517747,277.29077974205325,True,49,30,30,12
21.738610370836216,62.16040109527001,646.2331479752052,311.18237189444307,311.5208163863243,True,49,30,30,12
25.16565789696815,64.14644518655783,829.5916221230129,384.0223171248622,353.06660285647774,True,49,30,30,12
23.384916042773806,67.95178709555886,724.775607179865,333.6057705416058,298.4982333773062,True,49,30,30,12
