objective,model_seed,strength,normalized_strength,tangent_local_mmd,tangent_rollout_mmd,mfsi_rollout_mmd,velocity_gap,angular_error,min_ess,mean_ess,mean_projection_distortion,mean_lambda_norm,max_moment_error
cv,20260810,0.5154755992617881,0.998800323169957,0.08491763372018062,0.08558063825335514,0.08421058255691904,0.25112019557908366,0.05157931762070811,0.271041145513219,0.6320209080671568,0.25650558418505837,0.5997148085126913,0.0015340202402031326
cv,20260811,0.5153136985567979,0.9983689717657167,0.08460432948637761,0.08521540516980172,0.08526427674860856,0.31150249755288184,0.05239352043023019,0.271663108824317,0.6319027778222442,0.2563509773097211,0.5996457865963243,0.0015099812144076098
cv,20260812,0.5159329772152701,0.9997281697881274,0.08441553094371995,0.08355038791357437,0.08312500687784016,0.30059285099153654,0.0846235279735015,0.27196479156513215,0.6325376451697282,0.25723487881499596,0.600978216047452,0.00162270952379166
cv,20260813,0.5099354072691102,0.9879521273672666,0.0840952972568402,0.08705974245442462,0.08313178221253939,0.6366267739703595,0.0843214623368657,0.27152300084399983,0.6323782783414852,0.25283057480964144,0.5920791149691617,0.0014408120229556724
cv,20260814,0.5129220169823612,0.9938424840303977,0.08456855342034962,0.08677127099446177,0.08239321641094709,0.2584295962306816,0.05456258303819589,0.27205165616038396,0.6327902995110278,0.255184984488576,0.5976449813118514,0.0018805319693409074
cv,20260815,0.5149524542673898,0.9979366732563569,0.08445171575286485,0.0865673268778677,0.08628720842398521,0.5386838324655082,0.0783772250002194,0.27166111236649326,0.6324461362649745,0.25637622582071096,0.5993966048416259,0.0018464424137787604
cv,20260816,0.4903173150239638,0.9502522121757936,0.08101170522853077,0.09916728432402473,0.09999048801145202,0.29883150557358973,0.11464060556058595,0.2826588870403224,0.6401959701275328,0.2438903171372723,0.5829992737068876,0.002188708694613819
cv,20260817,0.5158798410621286,0.9996534131307323,0.08500589680827436,0.08520459253196176,0.08147158961630531,0.42324535582586015,0.05868248126294888,0.271611001544083,0.6323881833722333,0.2570681265175307,0.6003033894068621,0.0013816991748714564
cv,20260818,0.515688992415057,0.9992371567739647,0.08434182032656745,0.08393762636332104,0.0870358891501653,0.8950848195689705,0.08858650170356899,0.27186401628649326,0.6325593612364577,0.2571453810372759,0.6009061152362698,0.0013361698545594296
cv,20260819,0.5158577753791975,0.9996218294002718,0.08419613938323509,0.08437960916510372,0.08101454093332627,0.6351413038237637,0.06933001277669469,0.272049507529181,0.6322969839216609,0.2568787038188664,0.5999221997165838,0.0021717167264997234
fiber,20260810,0.02956261209289763,0.05598016452226229,0.05437808492585379,0.07028375802173846,0.06410876214897847,0.15879893417356788,0.03665457798147617,0.8926041237358271,0.9594040165403322,0.020126110685926724,0.2189197872581961,0.0014713930448958595
fiber,20260811,0.028623535501183423,0.055454101331214714,0.0546014968614412,0.06831024585596118,0.057311192683923505,0.07504928821697239,0.038625349430046904,0.890435609126557,0.9572371593558234,0.021808536053213097,0.23756069690653506,0.0012710744048918467
