objective,model_seed,target_strength,achieved_strength,relative_strength_error,accepted,fiber_validation_objective
fiber_low,20260810,0.07596272272285229,0.07336298754500503,0.034223828276034415,True,4.1124714040079615
fiber_medium,20260810,0.2619965132168644,0.24963707217918665,0.04717406688327528,True,5.795302851527641
fiber_high,20260810,0.4480303037108765,0.44727327233167097,0.001689687891500373,True,6.887375726635397
fiber_low,20260811,0.07596272272285229,0.07246301738682753,0.04607135198132463,True,2.942929187621941
fiber_medium,20260811,0.2619965132168644,0.25050142719887714,0.0438749580169867,True,5.069033736860859
fiber_high,20260811,0.4480303037108765,0.42671878810050523,0.047567129798710125,True,5.169497958137746
fiber_low,20260812,0.07596272272285229,0.07291353111739811,0.04014063077463221,True,2.941167054437204
fiber_medium,20260812,0.2619965132168644,0.24983025011864135,0.046436736691041806,True,5.13122828291326
fiber_high,20260812,0.4480303037108765,0.4301005342314421,0.04001909989330639,True,8.771914134891622
fiber_low,20260813,0.07596272272285229,0.07370897415114143,0.029669138900316885,True,2.7339831791634692
fiber_medium,20260813,0.2619965132168644,0.2534970336548227,0.032441193425372265,True,3.2959013286241223
fiber_high,20260813,0.4480303037108765,0.4264045478088604,0.04826851157811677,True,6.35687208450002
fiber_low,20260814,0.07596272272285229,0.0733056823325141,0.034978214249007024,True,2.4007675468416703
fiber_medium,20260814,0.2619965132168644,0.2616570862470221,0.0012955400271351097,True,3.301863778669446
fiber_high,20260814,0.4480303037108765,0.430941693421765,0.03814163941048667,True,4.824105905467747
fiber_low,20260815,0.07596272272285229,0.07566766190866904,0.003884284338513379,True,3.181888864485255
fiber_medium,20260815,0.2619965132168644,0.25210638665174334,0.0377490770533051,True,3.5994388385322815
fiber_high,20260815,0.4480303037108765,0.43072869822037063,0.03861704297053658,True,4.89172249755624
fiber_low,20260816,0.07596272272285229,0.07271424936599213,0.042764045842744264,True,2.993348169951603
fiber_medium,20260816,0.2619965132168644,0.2519281289730668,0.03842945892742936,True,5.957230449202434
fiber_high,20260816,0.4480303037108765,0.44719424212785874,0.001866082664705765,True,6.7515283774496755
fiber_low,20260817,0.07596272272285229,0.11072363436151592,0.45760486713309617,False,2.604073455401352
fiber_medium,20260817,0.2619965132168644,0.25211781699442715,0.03770544921053934,True,3.5881348609386445
fiber_high,20260817,0.4480303037108765,0.4260322015896705,0.04909958531599988,True,5.795752482025441
fiber_low,20260818,0.07596272272285229,0.07571568124841317,0.0032521408604639836,True,2.9646036376923917
fiber_medium,20260818,0.2619965132168644,0.25202264673732244,0.03806869930091716,True,3.658598741873675
fiber_high,20260818,0.4480303037108765,0.42814939210383807,0.044374033279381817,True,4.8967396162079435
fiber_low,20260819,0.07596272272285229,0.2401746986463315,2.1617442087032614,False,4.397088803057226
fiber_medium,20260819,0.2619965132168644,0.2626769894560576,0.0025972721195336077,True,4.719098784235571
fiber_high,20260819,0.4480303037108765,0.4273270052043769,0.046209594161424,True,5.934744928325367
