objective,train_geometry,eval_geometry,model_seed,evaluation_seed,strength,normalized_strength,tangent_local_mmd,tangent_rollout_mmd,mfsi_rollout_mmd,velocity_gap,angular_error,min_ess,mean_ess,max_moment_error,mean_projection_distortion,mean_lambda_norm
train_default_eval_default,default,default,20260810,20300810,0.02956261209289763,0.05598016452226229,0.057062855501721514,0.05114769089693851,0.05688004772697416,0.16086511046619406,0.017539783321048785,0.8952077379240285,0.9583861782415231,0.0014713925510486813,0.020546920370335512,0.22797462553300182
train_default_eval_default,default,default,20260810,20300811,0.02956261209289763,0.05598016452226229,0.05521058520444311,0.06253521645266202,0.0544657583955343,0.15609142293358394,0.05401164548721135,0.89997309728056,0.9604300460471809,0.0014714303586544398,0.019731938021498044,0.21941586482655612
train_default_eval_default,default,default,20260810,20300812,0.02956261209289763,0.05598016452226229,0.060547985703821,0.064163314208365,0.06524746772595667,0.15856576301392966,0.046382529884632574,0.8961614903907452,0.9608898294953251,0.0014713494247843757,0.019300549874010836,0.21493936747432887
train_default_eval_default,default,default,20260810,20300813,0.02956261209289763,0.05598016452226229,0.05142486784551675,0.08089857309014326,0.07662524460711513,0.15870788733775282,0.025822264222999502,0.8805669870643572,0.9580503686577027,0.001471384274321471,0.02084607179505454,0.22120821869353596
train_default_eval_default,default,default,20260810,20300814,0.02956261209289763,0.05598016452226229,0.04873299476538462,0.06870648327565046,0.06358648435761703,0.15926499357478544,0.034065095801393525,0.8827459229538814,0.9580506915705221,0.001471407985160151,0.020788303133487597,0.22401590459551782
train_default_eval_default,default,default,20260810,20300815,0.02956261209289763,0.05598016452226229,0.05156147090941453,0.057809365798119274,0.05412253603497563,0.15957446674355813,0.038584525253205666,0.8873199653337271,0.9569233828772683,0.001471392193843531,0.021135635091573596,0.2176075227669879
train_default_eval_default,default,default,20260810,20300816,0.02956261209289763,0.05598016452226229,0.05603503018310092,0.06820221126868325,0.05689746727454747,0.15806173979967947,0.03538016535693234,0.8913153382262963,0.9612160631310418,0.0014713896190360822,0.019347481807734684,0.21840687592798322
train_default_eval_default,default,default,20260810,20300817,0.02956261209289763,0.05598016452226229,0.05462595743706057,0.07644098191883204,0.06389977330099629,0.15929262977132302,0.05388551163958707,0.9075700040799932,0.9592956557381538,0.001471395944844446,0.01994710279282725,0.2171046546804849
train_default_eval_default,default,default,20260810,20300818,0.02956261209289763,0.05598016452226229,0.06137944660106716,0.0983509701556805,0.08691287389005092,0.1585107483320469,0.023900291895910173,0.8951386981069333,0.9598087256534532,0.0014714067755319618,0.020013014761565702,0.21582329463435612
train_default_eval_default,default,default,20260810,20300819,0.02956261209289763,0.05598016452226229,0.04719965510700773,0.07458277315231031,0.06244996817601706,0.15905457976282522,0.03697396695184073,0.8900419959977506,0.960989223991153,0.0014713813217334542,0.019604089211179496,0.2127015434492082
train_default_eval_smoothstep,default,smoothstep,20260810,20300810,0.021896057723856735,0.06107295145939628,0.05800321603210706,0.05144916729981814,0.05937733954518435,0.13870863853049586,0.024306262404674126,0.8952077379240283,0.9708418781913959,0.0014716399051683132,0.014350355726763598,0.17593522362255856
train_default_eval_smoothstep,default,smoothstep,20260810,20300811,0.021896057723856735,0.06107295145939628,0.05338417784948471,0.058376886484041934,0.052148830786765854,0.13651531135430486,0.04532748565255259,0.8999730972805599,0.9717368998842411,0.001471676910675947,0.014165163691312769,0.1725365818816032
train_default_eval_smoothstep,default,smoothstep,20260810,20300812,0.021896057723856735,0.06107295145939628,0.059493059426174694,0.05897777139388985,0.05820575772228365,0.13643945839353694,0.05087123756976997,0.8961614903907452,0.9717389523839509,0.001471601712549328,0.013903007215477709,0.16757362427015737
train_default_eval_smoothstep,default,smoothstep,20260810,20300813,0.021896057723856735,0.06107295145939628,0.05097907210811934,0.07561390211649843,0.07004199290118086,0.13811455263533687,0.027800780352536997,0.8805669870643572,0.9690253367373911,0.0014716369197672826,0.015400918995267365,0.17375463136567823
