objective,matching_kind,model_seed,evaluation_seed,control_draw,candidate_index,strength,normalized_strength,tangent_local_mmd,tangent_rollout_mmd,mfsi_rollout_mmd,velocity_gap,angular_error,min_ess,mean_ess,max_moment_error,mean_projection_distortion,mean_lambda_norm
strength_matched_random,E1_strength_matched,20260810,20300810,0,6878,0.029631498569217284,0.05864171611670308,0.05680704966083631,0.06949296870032234,0.0756462747113297,0.05317831423041772,0.02450343812019798,0.8816204797042109,0.9556247830743283,0.001477227493364225,0.021663444589835892,0.23253270663331982
strength_matched_random,E1_strength_matched,20260810,20300811,0,6878,0.029631498569217284,0.05864171611670308,0.058452114961476814,0.05807036786525031,0.05166022052099504,0.053414549084920916,0.04109088364675806,0.8832862947777076,0.9536384434582865,0.001477227493364266,0.02279630204780523,0.23819785987671702
strength_matched_random,E1_strength_matched,20260810,20300812,0,6878,0.029631498569217284,0.05864171611670308,0.055377096990797806,0.06690144041710479,0.061449346535426795,0.05328117980895532,0.06324661938999733,0.8772660378767893,0.9502621010112697,0.0014772274933642347,0.024132432948619543,0.24446005910699445
strength_matched_random,E1_strength_matched,20260810,20300813,0,6878,0.029631498569217284,0.05864171611670308,0.05786395567158202,0.09627676410397736,0.08579341910393629,0.054067695669999034,0.036024205637977626,0.8939177648766061,0.9553756609221962,0.0014772274933641833,0.021336428821668873,0.227736529527271
strength_matched_random,E1_strength_matched,20260810,20300814,0,6878,0.029631498569217284,0.05864171611670308,0.05172506282979278,0.06419105403814214,0.06282191604212173,0.0546804067604196,0.04197256652796819,0.899880146636461,0.9580893867085267,0.0014772274933643238,0.020247445875592726,0.22921676108538885
strength_matched_random,E1_strength_matched,20260810,20300815,0,6878,0.029631498569217284,0.05864171611670308,0.05726752591938088,0.06155964386399144,0.055440210237289934,0.053901373066664475,0.05522749311796773,0.8986232308606481,0.9572359686319103,0.0014772274933642867,0.020294308576563082,0.21779292359307387
strength_matched_random,E1_strength_matched,20260810,20300816,0,6878,0.029631498569217284,0.05864171611670308,0.06224278484854343,0.05504297475368555,0.0520894439763478,0.053805533209248795,0.0395330734490712,0.8766859863228197,0.9492244381081058,0.0014772274933643227,0.02454693127764672,0.2467940483324426
strength_matched_random,E1_strength_matched,20260810,20300817,0,6878,0.029631498569217284,0.05864171611670308,0.04902432817607317,0.05745617725753021,0.057972939302665165,0.05419269092638794,0.052671204145902574,0.8724808002354482,0.9530983158145949,0.0014772274933641874,0.02282297223421598,0.23729761806100286
strength_matched_random,E1_strength_matched,20260810,20300818,0,6878,0.029631498569217284,0.05864171611670308,0.06088498255669563,0.06856366884063857,0.06441359950033852,0.053625734003488766,0.03419958680596591,0.8929828873595558,0.9567517547848944,0.0014772274933643262,0.02066508479846336,0.22238152397708824
strength_matched_random,E1_strength_matched,20260810,20300819,0,6878,0.029631498569217284,0.05864171611670308,0.047437702864481,0.05287811829761819,0.050694835878579904,0.05397557975375183,0.05393356605656833,0.8853140777941038,0.9527178260096422,0.0014772274933643609,0.023009444386065038,0.23641422032413054
