model,heun_steps,integrated_raw_field_mmd2,integrated_downsampled_field_mmd2,maximum_standardized_phi_error,endpoint_standardized_phi_error,endpoint_raw_field_mmd2
v8_control_C,64,0.0086502805352211,0.003622300922870636,0.9436554336880514,0.26465534532410634,0.007239222526550293
v8_control_C,128,0.008304927498102188,0.003572937101125717,0.8764694321158628,0.2544916503226377,0.007270336151123047
v8_control_C,256,0.008149929344654083,0.0035624131560325623,0.8404008057986521,0.25261410582336025,0.00727689266204834
v9_global_spectral,64,0.01172996312379837,0.00632888451218605,1.5492657729728445,1.0969470554677532,0.01986873149871826
v9_global_spectral,128,0.01182011142373085,0.006566241383552551,1.551504343410774,1.1327438307071005,0.020302772521972656
v9_global_spectral,256,0.011832904070615768,0.006661418825387955,1.5495246360017245,1.1344908155374829,0.020500898361206055
